source_id,source_name,target_id,target_name,weight,year,percentage,width
1,House,4,Deep House,2027,2002,14.24956063268893,14.24956063268893
1,House,8,Progressive House,1149,2002,8.077328646748681,8.077328646748681
1,House,9,Tribal House,497,2002,3.4938488576449913,3.4938488576449913
1,House,5,Garage House,609,2002,4.281195079086117,4.281195079086117
1,House,3,Tech House,1063,2002,7.472759226713532,7.472759226713532
1,House,7,Euro House,842,2002,5.919156414762742,5.919156414762742
1,House,2,Hard House,285,2002,2.0035149384885766,2.0035149384885766
1,House,20,Electro,451,2002,3.1704745166959576,3.1704745166959576
1,House,16,Trance,1103,2002,7.753954305799649,7.753954305799649
1,House,17,Latin,308,2002,2.165202108963093,2.165202108963093
1,House,21,Downtempo,676,2002,4.752196836555361,4.752196836555361
1,House,15,Disco,675,2002,4.745166959578207,4.745166959578207
1,House,22,Techno,471,2002,3.311072056239016,3.311072056239016
1,House,24,Breaks,194,2002,1.3637961335676625,1.3637961335676625
1,House,32,Breakbeat,236,2002,1.6590509666080844,1.6590509666080844
1,House,53,Progressive Trance,184,2002,1.2934973637961336,1.2934973637961336
1,House,18,Italodance,147,2002,1.0333919156414764,1.0333919156414764
1,House,31,Europop,236,2002,1.6590509666080844,1.6590509666080844
1,House,61,Synth-pop,276,2002,1.9402460456942006,1.9402460456942006
1,House,62,RnB/Swing,152,2002,1.0685413005272406,1.0685413005272406
22,Techno,19,Tribal,373,2002,3.6978288886685835,3.6978288886685835
22,Techno,25,Minimal,585,2002,5.799543967482899,5.799543967482899
22,Techno,1,House,836,2002,8.287895310796074,8.287895310796074
22,Techno,20,Electro,872,2002,8.644790324179636,8.644790324179636
22,Techno,40,Ambient,191,2002,1.893526321007237,1.893526321007237
22,Techno,26,Acid,265,2002,2.6271438485178944,2.6271438485178944
22,Techno,21,Downtempo,237,2002,2.3495588381084564,2.3495588381084564
22,Techno,16,Trance,723,2002,7.1676415187865565,7.1676415187865565
22,Techno,97,IDM,136,2002,1.348270050560127,1.348270050560127
22,Techno,24,Breaks,152,2002,1.5068900565083772,1.5068900565083772
22,Techno,32,Breakbeat,249,2002,2.468523842569644,2.468523842569644
22,Techno,125,Hardcore,196,2002,1.9430950728660652,1.9430950728660652
22,Techno,95,Industrial,127,2002,1.2590462972142362,1.2590462972142362
22,Techno,42,Experimental,281,2002,2.7857638544661443,2.7857638544661443
22,Techno,23,Abstract,112,2002,1.1103400416377516,1.1103400416377516
22,Techno,3,Tech House,824,2002,8.168930306334886,8.168930306334886
22,Techno,59,Hard Trance,353,2002,3.499553881233271,3.499553881233271
22,Techno,8,Progressive House,173,2002,1.7150788143154554,1.7150788143154554
22,Techno,53,Progressive Trance,157,2002,1.5564588083672053,1.5564588083672053
22,Techno,2,Hard House,177,2002,1.7547338158025183,1.7547338158025183
22,Techno,4,Deep House,128,2002,1.268960047586002,1.268960047586002
22,Techno,7,Euro House,188,2002,1.8637850698919403,1.8637850698919403
22,Techno,61,Synth-pop,198,2002,1.9629225736095965,1.9629225736095965
22,Techno,74,Drum n Bass,108,2002,1.070685040150689,1.070685040150689
3,Tech House,1,House,1138,2002,19.084353513332214,19.084353513332214
3,Tech House,8,Progressive House,608,2002,10.19620996142881,10.19620996142881
3,Tech House,4,Deep House,673,2002,11.286265302699983,11.286265302699983
3,Tech House,22,Techno,899,2002,15.076303873888982,15.076303873888982
3,Tech House,25,Minimal,278,2002,4.662082844205936,4.662082844205936
3,Tech House,19,Tribal,129,2002,2.163340600368942,2.163340600368942
3,Tech House,9,Tribal House,234,2002,3.9241992285762204,3.9241992285762204
3,Tech House,20,Electro,266,2002,4.4608418581251055,4.4608418581251055
3,Tech House,24,Breaks,125,2002,2.096260271675331,2.096260271675331
3,Tech House,15,Disco,78,2002,1.3080664095254066,1.3080664095254066
3,Tech House,32,Breakbeat,109,2002,1.8279389569008888,1.8279389569008888
3,Tech House,7,Euro House,66,2002,1.106825423444575,1.106825423444575
3,Tech House,16,Trance,169,2002,2.8341438873050477,2.8341438873050477
3,Tech House,21,Downtempo,123,2002,2.0627201073285257,2.0627201073285257
3,Tech House,53,Progressive Trance,115,2002,1.9285594499413048,1.9285594499413048
3,Tech House,61,Synth-pop,86,2002,1.4422270669126278,1.4422270669126278
