id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,13,13,26,23,12.589041095890412
2,hip hop,8,8,16,11,11.10958904109589
3,hardcore,8,8,16,36,14.191780821917808
6,dub techno,4,4,8,6,10.493150684931507
7,breakbeat,8,8,16,14,11.479452054794521
8,ambient,2,2,4,10,10.986301369863014
10,synth pop,2,2,4,4,10.246575342465754
14,deep house,48,48,96,64,17.643835616438356
15,experimental,10,10,20,12,11.232876712328768
18,psytrance,4,4,8,12,11.232876712328768
19,rave,2,2,4,3,10.123287671232877
20,acid house,2,2,4,4,10.246575342465754
21,progressive house,92,92,184,251,40.6986301369863
22,dub,4,4,8,3,10.123287671232877
23,italodance,29,29,58,223,37.24657534246575
24,chill out,6,6,12,20,12.219178082191782
25,jazz,2,2,4,5,10.36986301369863
26,idm,8,8,16,8,10.73972602739726
27,house,278,278,556,427,62.397260273972606
28,pop,2,2,4,4,10.246575342465754
30,dubstep,7,7,14,18,11.972602739726028
31,soul,12,12,24,8,10.73972602739726
32,funk,16,16,32,9,10.863013698630137
33,trance,125,125,250,732,100.0
35,disco,44,44,88,54,16.410958904109588
38,progressive trance,50,50,100,50,15.917808219178081
41,ebm,2,2,4,2,10.0
42,techno,119,119,238,189,33.054794520547944
43,freestyle,7,7,14,14,11.479452054794521
44,hard trance,16,16,32,37,14.315068493150685
45,acid techno,5,5,10,5,10.36986301369863
46,minimal,448,448,896,470,67.69863013698631
47,electro,46,46,92,43,15.054794520547945
49,hardstyle,35,35,70,520,73.86301369863014
50,tech house,441,441,882,574,80.52054794520548
51,rock,6,6,12,6,10.493150684931507
52,hard techno,9,9,18,42,14.931506849315069
53,breaks,8,8,16,20,12.219178082191782
