id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
2,hip hop,2,2,4,33,13.78561736770692
3,hardcore,9,9,18,11,11.099050203527815
5,drum and bass,4,4,8,563,78.50746268656717
6,dub techno,3,3,6,3,10.122116689280869
7,breakbeat,8,8,16,23,12.564450474898237
8,ambient,2,2,4,6,10.488466757123474
10,synth pop,4,4,8,4,10.244233378561736
12,jungle,4,4,8,5,10.366350067842605
14,deep house,51,51,102,46,15.373134328358208
18,psytrance,2,2,4,14,11.46540027137042
19,rave,10,10,20,7,10.610583446404341
21,progressive house,163,163,326,384,56.64857530529172
22,dub,2,2,4,3,10.122116689280869
23,italodance,2,2,4,2,10.0
24,chill out,5,5,10,10,10.976933514246948
26,idm,2,2,4,5,10.366350067842605
27,house,180,180,360,344,51.763907734056986
30,dubstep,10,10,20,13,11.343283582089553
33,trance,136,136,272,739,100.0
35,disco,13,13,26,16,11.709633649932158
37,uk garage,10,10,20,5,10.366350067842605
38,progressive trance,11,11,22,19,12.075983717774763
40,downtempo,6,6,12,8,10.73270013568521
42,techno,129,129,258,414,60.312075983717776
44,hard trance,69,69,138,75,18.914518317503394
46,minimal,64,64,128,60,17.082767978290367
47,electro,49,49,98,48,15.617367706919946
49,hardstyle,35,35,70,66,17.815468113975577
50,tech house,210,210,420,258,41.26187245590231
52,hard techno,4,4,8,22,12.442333785617368
53,breaks,37,37,74,53,16.227951153324288
