source_id,source_name,target_id,target_name,weight,year,percentage,width
22,Techno,134,Minimal Techno,38,2008,2.608098833218943,2.608098833218943
22,Techno,60,Dub Techno,97,2008,6.6575154426904595,6.6575154426904595
22,Techno,118,Hard Techno,17,2008,1.1667810569663692,1.1667810569663692
22,Techno,25,Minimal,824,2008,56.55456417295813,56.55456417295813
22,Techno,20,Electro,168,2008,11.53054221002059,11.53054221002059
22,Techno,307,Schranz,21,2008,1.4413177762525737,1.4413177762525737
22,Techno,1,House,74,2008,5.078929306794784,5.078929306794784
22,Techno,26,Acid,51,2008,3.5003431708991077,3.5003431708991077
22,Techno,90,Jumpstyle,41,2008,2.8140013726835966,2.8140013726835966
22,Techno,16,Trance,16,2008,1.0981468771448182,1.0981468771448182
22,Techno,125,Hardcore,19,2008,1.3040494166094716,1.3040494166094716
3,Tech House,1,House,1983,2008,13.270427624974904,13.270427624974904
3,Tech House,8,Progressive House,1437,2008,9.616542862878939,9.616542862878939
3,Tech House,4,Deep House,1210,2008,8.097436926989225,8.097436926989225
3,Tech House,11,Electro House,379,2008,2.536304624238774,2.536304624238774
3,Tech House,20,Electro,1401,2008,9.375627384059426,9.375627384059426
3,Tech House,22,Techno,2406,2008,16.101184501104196,16.101184501104196
3,Tech House,25,Minimal,3726,2008,24.934752057819715,24.934752057819715
3,Tech House,16,Trance,200,2008,1.3384193267750786,1.3384193267750786
3,Tech House,134,Minimal Techno,182,2008,1.2179615873653216,1.2179615873653216
8,Progressive House,53,Progressive Trance,823,2008,8.495045417010735,8.495045417010735
8,Progressive House,1,House,1682,2008,17.36168455821635,17.36168455821635
8,Progressive House,11,Electro House,509,2008,5.253922378199835,5.253922378199835
8,Progressive House,16,Trance,733,2008,7.566061106523534,7.566061106523534
8,Progressive House,3,Tech House,1545,2008,15.947563996696946,15.947563996696946
8,Progressive House,20,Electro,1170,2008,12.07679603633361,12.07679603633361
8,Progressive House,4,Deep House,324,2008,3.3443435177539227,3.3443435177539227
8,Progressive House,24,Breaks,238,2008,2.4566473988439306,2.4566473988439306
8,Progressive House,22,Techno,501,2008,5.171345995045417,5.171345995045417
8,Progressive House,7,Euro House,132,2008,1.3625103220478945,1.3625103220478945
8,Progressive House,9,Tribal House,180,2008,1.8579686209744013,1.8579686209744013
8,Progressive House,25,Minimal,338,2008,3.4888521882741537,3.4888521882741537
8,Progressive House,40,Ambient,112,2008,1.1560693641618496,1.1560693641618496
8,Progressive House,21,Downtempo,183,2008,1.888934764657308,1.888934764657308
4,Deep House,1,House,1802,2008,25.560283687943265,25.560283687943265
4,Deep House,3,Tech House,1287,2008,18.25531914893617,18.25531914893617
4,Deep House,15,Disco,213,2008,3.021276595744681,3.021276595744681
4,Deep House,20,Electro,246,2008,3.4893617021276593,3.4893617021276593
4,Deep House,8,Progressive House,309,2008,4.382978723404255,4.382978723404255
4,Deep House,9,Tribal House,76,2008,1.0780141843971631,1.0780141843971631
4,Deep House,5,Garage House,115,2008,1.6312056737588652,1.6312056737588652
4,Deep House,21,Downtempo,328,2008,4.652482269503546,4.652482269503546
4,Deep House,25,Minimal,458,2008,6.49645390070922,6.49645390070922
4,Deep House,22,Techno,384,2008,5.446808510638298,5.446808510638298
4,Deep House,40,Ambient,178,2008,2.524822695035461,2.524822695035461
4,Deep House,44,Future Jazz,111,2008,1.574468085106383,1.574468085106383
4,Deep House,60,Dub Techno,106,2008,1.50354609929078,1.50354609929078
25,Minimal,22,Techno,4267,2008,27.343800064082025,27.343800064082025
25,Minimal,1,House,884,2008,5.664851009291894,5.664851009291894
25,Minimal,20,Electro,659,2008,4.223005446972125,4.223005446972125
25,Minimal,21,Downtempo,167,2008,1.0701698173662288,1.0701698173662288
25,Minimal,42,Experimental,678,2008,4.344761294456905,4.344761294456905
25,Minimal,23,Abstract,391,2008,2.5056071771867994,2.5056071771867994
25,Minimal,251,Drone,242,2008,1.5507850048061518,1.5507850048061518
25,Minimal,3,Tech House,3900,2008,24.991989746876,24.991989746876
25,Minimal,4,Deep House,467,2008,2.992630567125921,2.992630567125921
25,Minimal,8,Progressive House,338,2008,2.1659724447292534,2.1659724447292534
25,Minimal,60,Dub Techno,287,2008,1.8391541172701056,1.8391541172701056
25,Minimal,40,Ambient,587,2008,3.761614867029798,3.761614867029798
25,Minimal,152,Noise,195,2008,1.2495994873438,1.2495994873438
74,Drum n Bass,24,Breaks,128,2008,3.461330448891293,3.461330448891293
74,Drum n Bass,102,Jungle,239,2008,6.46295294753921,6.46295294753921
74,Drum n Bass,232,Dubstep,113,2008,3.0557057869118442,3.0557057869118442
74,Drum n Bass,32,Breakbeat,264,2008,7.13899405083829,7.13899405083829
74,Drum n Bass,29,Dub,65,2008,1.7577068685776096,1.7577068685776096
74,Drum n Bass,22,Techno,104,2008,2.8123309897241753,2.8123309897241753
74,Drum n Bass,1,House,136,2008,3.6776636019469984,3.6776636019469984
74,Drum n Bass,125,Hardcore,108,2008,2.9204975662520285,2.9204975662520285
74,Drum n Bass,190,Breakcore,135,2008,3.6506219578150354,3.6506219578150354
74,Drum n Bass,21,Downtempo,159,2008,4.299621416982152,4.299621416982152
74,Drum n Bass,42,Experimental,160,2008,4.3266630611141155,4.3266630611141155
74,Drum n Bass,104,Alternative Rock,37,2008,1.0005408328826393,1.0005408328826393
74,Drum n Bass,20,Electro,164,2008,4.434829637641969,4.434829637641969
74,Drum n Bass,16,Trance,64,2008,1.7306652244456464,1.7306652244456464
74,Drum n Bass,64,Broken Beat,47,2008,1.2709572742022714,1.2709572742022714
74,Drum n Bass,97,IDM,135,2008,3.6506219578150354,3.6506219578150354
74,Drum n Bass,23,Abstract,52,2008,1.4061654948620876,1.4061654948620876
74,Drum n Bass,98,Trip Hop,64,2008,1.7306652244456464,1.7306652244456464
74,Drum n Bass,54,Hip Hop,78,2008,2.1092482422931313,2.1092482422931313
74,Drum n Bass,152,Noise,42,2008,1.1357490535424553,1.1357490535424553
74,Drum n Bass,95,Industrial,61,2008,1.6495402920497566,1.6495402920497566
74,Drum n Bass,40,Ambient,104,2008,2.8123309897241753,2.8123309897241753
74,Drum n Bass,61,Synth-pop,39,2008,1.0546241211465657,1.0546241211465657
