id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
2,hip hop,11,11,22,30,15.70135746606335
3,hardcore,2,2,4,4,10.407239819004525
5,drum and bass,7,7,14,444,100.0
6,dub techno,2,2,4,3,10.203619909502262
7,breakbeat,11,11,22,30,15.70135746606335
8,ambient,2,2,4,4,10.407239819004525
9,hard house,8,8,16,6,10.81447963800905
10,synth pop,2,2,4,4,10.407239819004525
12,jungle,3,3,6,6,10.81447963800905
14,deep house,70,70,140,74,24.660633484162894
21,progressive house,71,71,142,235,57.44343891402715
22,dub,4,4,8,2,10.0
24,chill out,2,2,4,14,12.44343891402715
27,house,165,165,330,341,79.02714932126698
30,dubstep,12,12,24,10,11.628959276018099
31,soul,7,7,14,5,10.610859728506787
32,funk,8,8,16,5,10.610859728506787
33,trance,47,47,94,354,81.67420814479638
35,disco,16,16,32,15,12.647058823529411
37,uk garage,12,12,24,10,11.628959276018099
38,progressive trance,4,4,8,8,11.221719457013574
40,downtempo,4,4,8,13,12.239819004524886
42,techno,109,109,218,319,74.5475113122172
44,hard trance,49,49,98,68,23.438914027149323
45,acid techno,3,3,6,4,10.407239819004525
46,minimal,29,29,58,30,15.70135746606335
47,electro,27,27,54,30,15.70135746606335
49,hardstyle,31,31,62,64,22.62443438914027
50,tech house,127,127,254,193,48.89140271493213
52,hard techno,4,4,8,19,13.461538461538462
53,breaks,37,37,74,39,17.53393665158371
