source_id,source_name,target_id,target_name,weight,year,percentage,width
33,trance,38,progressive trance,870,2013,87.61329305135952,87.61329305135952
38,progressive trance,33,trance,870,2013,82.0754716981132,82.0754716981132
15,experimental,26,idm,9,2013,17.307692307692307,17.307692307692307
26,idm,15,experimental,9,2013,13.846153846153847,13.846153846153847
10,synth pop,47,electro,3,2013,12.5,12.5
47,electro,10,synth pop,3,2013,2.158273381294964,2.158273381294964
42,techno,50,tech house,793,2013,59.40074906367041,59.40074906367041
50,tech house,42,techno,793,2013,29.789631855747555,29.789631855747555
2,hip hop,32,funk,10,2013,9.345794392523365,9.345794392523365
32,funk,2,hip hop,10,2013,3.1746031746031744,3.1746031746031744
27,house,35,disco,297,2013,9.428571428571429,9.428571428571429
35,disco,27,house,297,2013,54.09836065573771,54.09836065573771
14,deep house,24,chill out,19,2013,1.9916142557651992,1.9916142557651992
14,deep house,27,house,705,2013,73.89937106918238,73.89937106918238
24,chill out,14,deep house,19,2013,14.84375,14.84375
24,chill out,27,house,9,2013,7.03125,7.03125
27,house,14,deep house,705,2013,22.380952380952383,22.380952380952383
42,techno,46,minimal,184,2013,13.782771535580524,13.782771535580524
46,minimal,42,techno,184,2013,28.749999999999996,28.749999999999996
46,minimal,50,tech house,204,2013,31.874999999999996,31.874999999999996
50,tech house,46,minimal,204,2013,7.663410969196092,7.663410969196092
15,experimental,42,techno,11,2013,21.153846153846153,21.153846153846153
26,idm,42,techno,17,2013,26.153846153846157,26.153846153846157
42,techno,26,idm,17,2013,1.2734082397003745,1.2734082397003745
14,deep house,35,disco,60,2013,6.289308176100629,6.289308176100629
35,disco,14,deep house,60,2013,10.92896174863388,10.92896174863388
2,hip hop,25,jazz,2,2013,1.8691588785046727,1.8691588785046727
2,hip hop,27,house,19,2013,17.75700934579439,17.75700934579439
25,jazz,2,hip hop,2,2013,3.508771929824561,3.508771929824561
25,jazz,27,house,13,2013,22.807017543859647,22.807017543859647
14,deep house,46,minimal,55,2013,5.765199161425576,5.765199161425576
27,house,46,minimal,157,2013,4.984126984126984,4.984126984126984
46,minimal,14,deep house,55,2013,8.59375,8.59375
46,minimal,27,house,157,2013,24.53125,24.53125
3,hardcore,42,techno,24,2013,46.15384615384615,46.15384615384615
42,techno,3,hardcore,24,2013,1.7977528089887642,1.7977528089887642
27,house,50,tech house,1429,2013,45.36507936507937,45.36507936507937
50,tech house,27,house,1429,2013,53.68144252441773,53.68144252441773
27,house,42,techno,101,2013,3.2063492063492065,3.2063492063492065
42,techno,27,house,101,2013,7.5655430711610485,7.5655430711610485
21,progressive house,50,tech house,62,2013,11.83206106870229,11.83206106870229
50,tech house,21,progressive house,62,2013,2.329075882794891,2.329075882794891
23,italodance,33,trance,4,2013,66.66666666666666,66.66666666666666
3,hardcore,19,rave,4,2013,7.6923076923076925,7.6923076923076925
19,rave,3,hardcore,4,2013,21.052631578947366,21.052631578947366
19,rave,42,techno,11,2013,57.89473684210527,57.89473684210527
21,progressive house,33,trance,85,2013,16.221374045801525,16.221374045801525
33,trance,21,progressive house,85,2013,8.559919436052366,8.559919436052366
27,house,28,pop,44,2013,1.3968253968253967,1.3968253968253967
28,pop,27,house,44,2013,24.444444444444443,24.444444444444443
14,deep house,50,tech house,67,2013,7.023060796645702,7.023060796645702
50,tech house,14,deep house,67,2013,2.5169045830202856,2.5169045830202856
3,hardcore,49,hardstyle,7,2013,13.461538461538462,13.461538461538462
49,hardstyle,3,hardcore,7,2013,26.923076923076923,26.923076923076923
21,progressive house,38,progressive trance,151,2013,28.816793893129773,28.816793893129773
38,progressive trance,21,progressive house,151,2013,14.245283018867925,14.245283018867925
42,techno,47,electro,71,2013,5.318352059925094,5.318352059925094
47,electro,42,techno,71,2013,51.07913669064749,51.07913669064749
2,hip hop,21,progressive house,9,2013,8.411214953271028,8.411214953271028
21,progressive house,2,hip hop,9,2013,1.717557251908397,1.717557251908397
52,hard techno,42,techno,8,2013,100.0,100.0
5,drum and bass,30,dubstep,79,2013,56.02836879432624,56.02836879432624
30,dubstep,5,drum and bass,79,2013,66.94915254237289,66.94915254237289
32,funk,35,disco,49,2013,15.555555555555555,15.555555555555555
35,disco,32,funk,49,2013,8.925318761384334,8.925318761384334
27,house,32,funk,49,2013,1.5555555555555556,1.5555555555555556
32,funk,27,house,49,2013,15.555555555555555,15.555555555555555
