id,name,outgoing_weight,incoming_weight,total_weight,size
3,Tech House,3759,184,3943,100.0
8,Progressive House,2619,181,2800,73.9041095890411
1,House,0,1142,1142,36.050228310502284
2,Hard House,0,12,12,10.251141552511417
4,Deep House,0,667,667,25.205479452054796
5,Garage House,0,21,21,10.45662100456621
6,Acid House,0,100,100,12.26027397260274
7,Euro House,0,20,20,10.4337899543379
9,Tribal House,0,31,31,10.684931506849315
10,French House,0,15,15,10.319634703196346
11,Electro House,0,116,116,12.625570776255708
12,Ghetto House,0,3,3,10.045662100456621
13,Hip-House,0,15,15,10.319634703196346
14,Italo House,0,11,11,10.228310502283104
15,Disco,0,25,25,10.547945205479452
16,Trance,0,205,205,14.657534246575342
17,Latin,0,32,32,10.707762557077626
18,Italodance,0,2,2,10.02283105022831
19,Tribal,0,7,7,10.136986301369863
20,Electro,0,235,235,15.342465753424658
21,Downtempo,0,157,157,13.56164383561644
22,Techno,0,839,839,29.1324200913242
23,Abstract,0,11,11,10.228310502283104
24,Breaks,0,188,188,14.269406392694062
25,Minimal,0,342,342,17.78538812785388
26,Acid,0,126,126,12.853881278538813
28,Funk,0,6,6,10.114155251141552
29,Dub,0,20,20,10.4337899543379
31,Europop,0,5,5,10.091324200913242
32,Breakbeat,0,96,96,12.168949771689498
34,Vocal,0,4,4,10.068493150684931
35,Jazzdance,0,3,3,10.045662100456621
36,Soca,0,2,2,10.02283105022831
38,Makina,0,1,1,10.0
40,Ambient,0,86,86,11.940639269406393
41,Microhouse,0,21,21,10.45662100456621
42,Experimental,0,28,28,10.616438356164384
44,Future Jazz,0,2,2,10.02283105022831
45,UK Garage,0,30,30,10.662100456621005
46,Big Beat,0,11,11,10.228310502283104
47,Soul,0,1,1,10.0
49,Jazz-Funk,0,1,1,10.0
52,Speed Garage,0,12,12,10.251141552511417
53,Progressive Trance,0,177,177,14.018264840182649
54,Hip Hop,0,11,11,10.228310502283104
55,Donk,0,1,1,10.0
57,Juke,0,1,1,10.0
58,African,0,1,1,10.0
59,Hard Trance,0,8,8,10.159817351598175
60,Dub Techno,0,43,43,10.95890410958904
61,Synth-pop,0,42,42,10.93607305936073
62,RnB/Swing,0,2,2,10.02283105022831
64,Broken Beat,0,7,7,10.136986301369863
65,Tropical House,0,3,3,10.045662100456621
67,Eurodance,0,7,7,10.136986301369863
68,Soundtrack,0,2,2,10.02283105022831
69,Ballad,0,8,8,10.159817351598175
72,Hardstyle,0,5,5,10.091324200913242
74,Drum n Bass,0,57,57,11.278538812785389
81,Dance-pop,0,66,66,11.484018264840183
84,Hi NRG,0,2,2,10.02283105022831
85,Acoustic,0,1,1,10.0
87,Jersey Club,0,2,2,10.02283105022831
88,Pop Rap,0,2,2,10.02283105022831
89,Pop Rock,0,12,12,10.251141552511417
90,Jumpstyle,0,1,1,10.0
92,Latin Pop,0,4,4,10.068493150684931
93,Nu-Disco,0,53,53,11.187214611872147
95,Industrial,0,2,2,10.02283105022831
97,IDM,0,77,77,11.735159817351597
98,Trip Hop,0,14,14,10.296803652968036
102,Jungle,0,8,8,10.159817351598175
103,Tech Trance,0,35,35,10.776255707762557
104,Alternative Rock,0,9,9,10.182648401826484
105,Italo-Disco,0,5,5,10.091324200913242
106,Leftfield,0,12,12,10.251141552511417
107,Folk,0,2,2,10.02283105022831
109,Reggae,0,1,1,10.0
111,Modern Classical,0,4,4,10.068493150684931
113,Contemporary R&B,0,5,5,10.091324200913242
114,EBM,0,8,8,10.159817351598175
115,Happy Hardcore,0,3,3,10.045662100456621
116,New Beat,0,4,4,10.068493150684931
118,Hard Techno,0,6,6,10.114155251141552
120,Bossanova,0,1,1,10.0
122,Indie Rock,0,2,2,10.02283105022831
123,Chanson,0,4,4,10.068493150684931
126,Afro-Cuban,0,1,1,10.0
128,Acid Jazz,0,2,2,10.02283105022831
134,Minimal Techno,0,152,152,13.447488584474886
135,Arena Rock,0,1,1,10.0
136,Indie Pop,0,11,11,10.228310502283104
137,Hands Up,0,6,6,10.114155251141552
138,Country Rock,0,1,1,10.0
140,Rhythm & Blues,0,1,1,10.0
142,Country,0,1,1,10.0
144,Cha-Cha,0,1,1,10.0
145,UK Funky,0,1,1,10.0
148,Reggaeton,0,2,2,10.02283105022831
152,Noise,0,2,2,10.02283105022831
153,New Jack Swing,0,1,1,10.0
156,Post Rock,0,1,1,10.0
163,Video Game Music,0,1,1,10.0
165,Goa Trance,0,2,2,10.02283105022831
166,Neo Soul,0,3,3,10.045662100456621
170,Hyper Techno,0,1,1,10.0
171,Glitch,0,4,4,10.068493150684931
173,Hard Rock,0,4,4,10.068493150684931
174,Lo-Fi,0,5,5,10.091324200913242
176,Punk,0,2,2,10.02283105022831
177,Ambient House,0,15,15,10.319634703196346
179,Deep Techno,0,73,73,11.643835616438356
182,Balearic,0,9,9,10.182648401826484
189,Folk Rock,0,2,2,10.02283105022831
190,Breakcore,0,1,1,10.0
192,Bossa Nova,0,1,1,10.0
199,Chillwave,0,6,6,10.114155251141552
201,Progressive Breaks,0,72,72,11.621004566210045
202,New Wave,0,3,3,10.045662100456621
203,Psy-Trance,0,22,22,10.479452054794521
206,Electroclash,0,1,1,10.0
207,Musical,0,1,1,10.0
217,Contemporary Jazz,0,2,2,10.02283105022831
225,Chiptune,0,4,4,10.068493150684931
230,Britpop,0,1,1,10.0
232,Dubstep,0,20,20,10.4337899543379
234,Post-Punk,0,1,1,10.0
258,Mizrahi,0,3,3,10.045662100456621
260,Ethno-pop,0,1,1,10.0
263,Glam,0,1,1,10.0
265,Boogie,0,1,1,10.0
278,Bassline,0,7,7,10.136986301369863
282,Goth Rock,0,1,1,10.0
284,DJ Battle Tool,0,1,1,10.0
293,Dark Ambient,0,3,3,10.045662100456621
294,Bass Music,0,28,28,10.616438356164384
299,Freetekno,0,1,1,10.0
306,Space Rock,0,1,1,10.0
309,Neo-Classical,0,2,2,10.02283105022831
311,Krautrock,0,1,1,10.0
320,Math Rock,0,1,1,10.0
323,Darkwave,0,1,1,10.0
327,Ethereal,0,1,1,10.0
331,Southern Rock,0,1,1,10.0
332,Synthwave,0,19,19,10.410958904109588
339,Musique Concrète,0,1,1,10.0
342,Bleep,0,1,1,10.0
362,Acid Rock,0,1,1,10.0
374,Progressive Metal,0,1,1,10.0
375,Plunderphonics,0,4,4,10.068493150684931
