id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,78,78,156,103,14.679203539823009
2,hip hop,57,57,114,74,13.235619469026549
3,hardcore,53,53,106,37,11.393805309734514
4,big beat,7,7,14,19,10.497787610619469
5,drum and bass,70,70,140,402,29.563053097345133
6,dub techno,32,32,64,23,10.696902654867257
7,breakbeat,75,75,150,34,11.244469026548673
8,ambient,92,92,184,80,13.53429203539823
10,synth pop,70,70,140,50,12.040929203539823
12,jungle,56,56,112,57,12.389380530973451
13,world music,52,52,104,41,11.5929203539823
14,deep house,673,673,1346,643,41.559734513274336
15,experimental,130,130,260,87,13.882743362831858
16,bassline,39,39,78,31,11.095132743362832
17,reggae,37,37,74,19,10.497787610619469
18,psytrance,19,19,38,23,10.696902654867257
19,rave,66,66,132,27,10.896017699115044
20,acid house,24,24,48,21,10.597345132743364
21,progressive house,566,566,1132,535,36.18362831858407
22,dub,18,18,36,20,10.547566371681416
23,italodance,72,72,144,73,13.185840707964601
24,chill out,129,129,258,105,14.778761061946902
25,jazz,64,64,128,55,12.289823008849558
26,idm,62,62,124,53,12.190265486725664
27,house,1522,1522,3044,1817,100.0
28,pop,28,28,56,28,10.945796460176991
30,dubstep,19,19,38,38,11.44358407079646
31,soul,130,130,260,93,14.18141592920354
32,funk,98,98,196,67,12.88716814159292
33,trance,214,214,428,243,21.648230088495573
34,happy hardcore,35,35,70,9,10.0
35,disco,367,367,734,305,24.734513274336283
36,dancehall,14,14,28,16,10.348451327433628
37,uk garage,29,29,58,39,11.493362831858407
38,progressive trance,83,83,166,78,13.434734513274336
39,latin,36,36,72,30,11.045353982300885
40,downtempo,136,136,272,95,14.280973451327434
41,ebm,53,53,106,45,11.79203539823009
42,techno,964,964,1928,1723,95.320796460177
44,hard trance,25,25,50,9,10.0
45,acid techno,44,44,88,32,11.14491150442478
46,minimal,186,186,372,132,16.12278761061947
47,electro,164,164,328,150,17.018805309734514
48,deep space house,10,10,20,11,10.099557522123893
49,hardstyle,57,57,114,69,12.986725663716815
50,tech house,1036,1036,2072,1019,60.27654867256637
51,rock,16,16,32,16,10.348451327433628
52,hard techno,28,28,56,25,10.79646017699115
53,breaks,17,17,34,24,10.746681415929203
