source_id,source_name,target_id,target_name,weight,year,width
3,Tech House,1,House,904,2020,10.966850828729282
3,Tech House,22,Techno,877,2020,10.668508287292818
3,Tech House,8,Progressive House,352,2020,4.8674033149171265
3,Tech House,4,Deep House,907,2020,11.0
3,Tech House,16,Trance,72,2020,1.7734806629834254
3,Tech House,20,Electro,179,2020,2.955801104972376
3,Tech House,25,Minimal,706,2020,8.779005524861878
3,Tech House,26,Acid,128,2020,2.3922651933701657
3,Tech House,342,Bleep,5,2020,1.0331491712707181
3,Tech House,32,Breakbeat,118,2020,2.2817679558011053
3,Tech House,24,Breaks,96,2020,2.0386740331491713
3,Tech House,103,Tech Trance,18,2020,1.1767955801104972
3,Tech House,11,Electro House,81,2020,1.87292817679558
3,Tech House,106,Leftfield,50,2020,1.5303867403314917
3,Tech House,21,Downtempo,117,2020,2.270718232044199
3,Tech House,42,Experimental,73,2020,1.7845303867403315
3,Tech House,28,Funk,2,2020,1.0
3,Tech House,6,Acid House,53,2020,1.56353591160221
3,Tech House,17,Latin,8,2020,1.0662983425414365
3,Tech House,9,Tribal House,45,2020,1.4751381215469612
3,Tech House,15,Disco,31,2020,1.3204419889502763
3,Tech House,93,Nu-Disco,61,2020,1.6519337016574585
3,Tech House,102,Jungle,13,2020,1.1215469613259668
3,Tech House,40,Ambient,118,2020,2.2817679558011053
3,Tech House,404,Neo Trance,37,2020,1.3867403314917128
3,Tech House,179,Deep Techno,162,2020,2.7679558011049723
3,Tech House,134,Minimal Techno,253,2020,3.773480662983425
3,Tech House,7,Euro House,11,2020,1.0994475138121547
3,Tech House,64,Broken Beat,21,2020,1.2099447513812154
3,Tech House,19,Tribal,11,2020,1.0994475138121547
3,Tech House,60,Dub Techno,62,2020,1.6629834254143647
3,Tech House,61,Synth-pop,37,2020,1.3867403314917128
3,Tech House,45,UK Garage,21,2020,1.2099447513812154
3,Tech House,125,Hardcore,10,2020,1.0883977900552486
3,Tech House,2,Hard House,16,2020,1.1546961325966851
3,Tech House,41,Microhouse,6,2020,1.0441988950276242
3,Tech House,5,Garage House,15,2020,1.143646408839779
3,Tech House,97,IDM,44,2020,1.4640883977900552
3,Tech House,98,Trip Hop,8,2020,1.0662983425414365
3,Tech House,81,Dance-pop,42,2020,1.441988950276243
3,Tech House,181,Holiday,2,2020,1.0
3,Tech House,72,Hardstyle,5,2020,1.0331491712707181
3,Tech House,234,Post-Punk,3,2020,1.011049723756906
3,Tech House,171,Glitch,10,2020,1.0883977900552486
3,Tech House,74,Drum n Bass,36,2020,1.3756906077348066
3,Tech House,332,Synthwave,19,2020,1.1878453038674033
3,Tech House,23,Abstract,16,2020,1.1546961325966851
3,Tech House,68,Soundtrack,3,2020,1.011049723756906
3,Tech House,185,Score,2,2020,1.0
3,Tech House,323,Darkwave,3,2020,1.011049723756906
3,Tech House,136,Indie Pop,3,2020,1.011049723756906
3,Tech House,201,Progressive Breaks,11,2020,1.0994475138121547
3,Tech House,163,Video Game Music,2,2020,1.0
3,Tech House,70,Theme,4,2020,1.022099447513812
3,Tech House,232,Dubstep,16,2020,1.1546961325966851
3,Tech House,29,Dub,25,2020,1.2541436464088398
3,Tech House,104,Alternative Rock,2,2020,1.0
3,Tech House,54,Hip Hop,6,2020,1.0441988950276242
3,Tech House,100,Grime,7,2020,1.0552486187845305
3,Tech House,118,Hard Techno,4,2020,1.022099447513812
3,Tech House,59,Hard Trance,7,2020,1.0552486187845305
3,Tech House,379,Glitch Hop,4,2020,1.022099447513812
3,Tech House,95,Industrial,7,2020,1.0552486187845305
3,Tech House,67,Eurodance,4,2020,1.022099447513812
3,Tech House,18,Italodance,3,2020,1.011049723756906
3,Tech House,174,Lo-Fi,2,2020,1.0
3,Tech House,212,Rhythmic Noise,2,2020,1.0
3,Tech House,122,Indie Rock,2,2020,1.0
3,Tech House,89,Pop Rock,2,2020,1.0
3,Tech House,278,Bassline,27,2020,1.276243093922652
3,Tech House,137,Hands Up,2,2020,1.0
3,Tech House,145,UK Funky,5,2020,1.0331491712707181
3,Tech House,53,Progressive Trance,24,2020,1.2430939226519337
3,Tech House,311,Krautrock,3,2020,1.011049723756906
3,Tech House,444,Moombahton,3,2020,1.011049723756906
3,Tech House,115,Happy Hardcore,5,2020,1.0331491712707181
3,Tech House,14,Italo House,2,2020,1.0
3,Tech House,202,New Wave,5,2020,1.0331491712707181
3,Tech House,206,Electroclash,5,2020,1.0331491712707181
3,Tech House,65,Tropical House,10,2020,1.0883977900552486
3,Tech House,12,Ghetto House,8,2020,1.0662983425414365
3,Tech House,30,Afrobeat,7,2020,1.0552486187845305
3,Tech House,395,Trap,4,2020,1.022099447513812
3,Tech House,178,Ghettotech,4,2020,1.022099447513812
3,Tech House,449,Future House,2,2020,1.0
3,Tech House,114,EBM,7,2020,1.0552486187845305
3,Tech House,35,Jazzdance,4,2020,1.022099447513812
3,Tech House,13,Hip-House,3,2020,1.011049723756906
3,Tech House,57,Juke,4,2020,1.022099447513812
3,Tech House,203,Psy-Trance,9,2020,1.0773480662983426
3,Tech House,412,Electroacoustic,3,2020,1.011049723756906
3,Tech House,225,Chiptune,2,2020,1.0
3,Tech House,10,French House,2,2020,1.0
3,Tech House,105,Italo-Disco,3,2020,1.011049723756906
3,Tech House,305,Berlin-School,3,2020,1.011049723756906
3,Tech House,44,Future Jazz,8,2020,1.0662983425414365
3,Tech House,141,Ghetto,3,2020,1.011049723756906
3,Tech House,199,Chillwave,10,2020,1.0883977900552486
3,Tech House,152,Noise,3,2020,1.011049723756906
3,Tech House,293,Dark Ambient,4,2020,1.022099447513812
3,Tech House,55,Donk,2,2020,1.0
3,Tech House,85,Acoustic,2,2020,1.0
