id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
2,hip hop,2,2,4,28,16.86217008797654
3,hardcore,2,2,4,5,10.791788856304985
4,big beat,2,2,4,3,10.263929618768328
5,drum and bass,5,5,10,313,92.08211143695014
6,dub techno,2,2,4,3,10.263929618768328
7,breakbeat,7,7,14,26,16.334310850439884
9,hard house,9,9,18,9,11.8475073313783
10,synth pop,4,4,8,11,12.375366568914956
12,jungle,5,5,10,6,11.055718475073313
14,deep house,35,35,70,35,18.70967741935484
21,progressive house,38,38,76,77,29.794721407624632
22,dub,2,2,4,2,10.0
27,house,126,126,252,258,77.56598240469208
31,soul,4,4,8,4,10.527859237536656
32,funk,4,4,8,5,10.791788856304985
33,trance,75,75,150,239,72.55131964809385
35,disco,5,5,10,8,11.583577712609971
38,progressive trance,7,7,14,11,12.375366568914956
39,latin,2,2,4,2,10.0
40,downtempo,2,2,4,6,11.055718475073313
42,techno,129,129,258,343,100.0
44,hard trance,9,9,18,10,12.111436950146627
45,acid techno,8,8,16,11,12.375366568914956
46,minimal,12,12,24,11,12.375366568914956
47,electro,33,33,66,37,19.237536656891496
50,tech house,73,73,146,118,40.6158357771261
52,hard techno,7,7,14,4,10.527859237536656
53,breaks,5,5,10,18,14.222873900293255
