id,name,outgoing_weight,incoming_weight,total_weight,size
1,House,13277,4742,18019,100.0
3,Tech House,5196,2482,7678,48.343786423932954
4,Deep House,6570,2611,9181,55.85169562080257
8,Progressive House,7029,2039,9068,55.28722872842316
22,Techno,9152,1764,10916,64.5185102958317
2,Hard House,0,888,888,14.425820058833324
5,Garage House,0,1086,1086,15.414885941055669
6,Acid House,0,140,140,10.689348948215574
7,Euro House,0,1413,1413,17.048343231392572
9,Tribal House,0,1188,1188,15.924404728867183
10,French House,0,43,43,10.204806571571293
11,Electro House,0,77,77,10.374646167508464
12,Ghetto House,0,5,5,10.014985846700338
13,Hip-House,0,47,47,10.224787700505079
14,Italo House,0,16,16,10.069933951268247
15,Disco,0,1224,1224,16.104234889271243
16,Trance,0,2996,2996,24.955875006937895
17,Latin,0,631,631,13.142032524837655
18,Italodance,0,300,300,11.488594105566964
19,Tribal,0,644,644,13.206971193872453
20,Electro,0,1391,1391,16.93844702225676
21,Downtempo,0,1517,1517,17.567852583670977
23,Abstract,0,213,213,11.054004551257146
24,Breaks,0,643,643,13.201975911639007
25,Minimal,0,861,861,14.290947438530276
26,Acid,0,389,389,11.933174224343675
28,Funk,0,94,94,10.45956596547705
29,Dub,0,342,342,11.698395959371705
30,Afrobeat,0,17,17,10.074929233501694
31,Europop,0,453,453,12.25287228728423
32,Breakbeat,0,734,734,13.65654659488261
33,Kwaito,0,18,18,10.07992451573514
34,Vocal,0,93,93,10.454570683243604
35,Jazzdance,0,136,136,10.66936781928179
37,Schlager,0,14,14,10.059943386801354
38,Makina,0,35,35,10.164844313703725
39,Merengue,0,6,6,10.019981128933784
40,Ambient,0,453,453,12.25287228728423
41,Microhouse,0,8,8,10.029971693400677
42,Experimental,0,322,322,11.598490314702781
43,Rumba,0,27,27,10.124882055836155
44,Future Jazz,0,504,504,12.507631681189988
45,UK Garage,0,331,331,11.643447854803796
46,Big Beat,0,184,184,10.909141366487207
47,Soul,0,76,76,10.369650885275018
48,Freestyle,0,71,71,10.344674474107787
49,Jazz-Funk,0,11,11,10.044957540101015
50,Contemporary,0,4,4,10.009990564466893
51,Dancehall,0,7,7,10.02497641116723
52,Speed Garage,0,31,31,10.144863184769939
53,Progressive Trance,0,1515,1515,17.557862019204084
54,Hip Hop,0,118,118,10.579452739079759
55,Donk,0,16,16,10.069933951268247
56,Bhangra,0,4,4,10.009990564466893
58,African,0,21,21,10.094910362435478
59,Hard Trance,0,600,600,12.987178775600821
60,Dub Techno,0,117,117,10.574457456846313
61,Synth-pop,0,498,498,12.47765998778931
62,RnB/Swing,0,248,248,11.228839429427762
64,Broken Beat,0,141,141,10.69434423044902
66,J-pop,0,56,56,10.269745240606095
67,Eurodance,0,191,191,10.944108342121329
68,Soundtrack,0,77,77,10.374646167508464
69,Ballad,0,185,185,10.914136648720653
70,Theme,0,24,24,10.109896209135815
71,Gospel,0,3,3,10.004995282233446
72,Hardstyle,0,56,56,10.269745240606095
73,Technical,0,10,10,10.039962257867568
74,Drum n Bass,0,268,268,11.328745074096686
75,Salsa,0,22,22,10.099905644668924
76,Promotional,0,3,3,10.004995282233446
77,Euro-Disco,0,15,15,10.0649386690348
78,Batucada,0,6,6,10.019981128933784
80,Novelty,0,7,7,10.02497641116723
81,Dance-pop,0,165,165,10.814231004051729
83,Lounge,0,10,10,10.039962257867568
84,Hi NRG,0,59,59,10.284731087306433
85,Acoustic,0,43,43,10.204806571571293
86,Health-Fitness,0,2,2,10.0
88,Pop Rap,0,137,137,10.674363101515237
89,Pop Rock,0,229,229,11.133929066992284
90,Jumpstyle,0,23,23,10.10490092690237
92,Latin Pop,0,23,23,10.10490092690237
93,Nu-Disco,0,51,51,10.244768829438863
94,Bubblegum,0,6,6,10.019981128933784
95,Industrial,0,96,96,10.469556529943942
96,Mandopop,0,6,6,10.019981128933784
97,IDM,0,200,200,10.989065882222345
98,Trip Hop,0,211,211,11.044013986790253
101,Eurobeat,0,36,36,10.169839595937171
102,Jungle,0,36,36,10.169839595937171
103,Tech Trance,0,59,59,10.284731087306433
104,Alternative Rock,0,170,170,10.83920741521896
105,Italo-Disco,0,17,17,10.074929233501694
106,Leftfield,0,154,154,10.759282899483821
107,Folk,0,15,15,10.0649386690348
108,Axé,0,2,2,10.0
109,Reggae,0,6,6,10.019981128933784
110,Soft Rock,0,21,21,10.094910362435478
111,Modern Classical,0,33,33,10.154853749236832
112,Fusion,0,7,7,10.02497641116723
113,Contemporary R&B,0,142,142,10.699339512682467
114,EBM,0,26,26,10.119886773602708
115,Happy Hardcore,0,41,41,10.194816007104402
116,New Beat,0,18,18,10.07992451573514
117,Pachanga,0,2,2,10.0
118,Hard Techno,0,29,29,10.134872620303046
119,Easy Listening,0,9,9,10.034966975634124
120,Bossanova,0,7,7,10.02497641116723
121,Ragga HipHop,0,13,13,10.05494810456791
122,Indie Rock,0,71,71,10.344674474107787
123,Chanson,0,18,18,10.07992451573514
125,Hardcore,0,167,167,10.82422156851862
126,Afro-Cuban,0,2,2,10.0
127,Cool Jazz,0,5,5,10.014985846700338
128,Acid Jazz,0,144,144,10.709330077149358
129,Reggae-Pop,0,26,26,10.119886773602708
130,Conscious,0,14,14,10.059943386801354
132,Neofolk,0,3,3,10.004995282233446
133,Samba,0,18,18,10.07992451573514
134,Minimal Techno,0,93,93,10.454570683243604
135,Arena Rock,0,6,6,10.019981128933784
136,Indie Pop,0,13,13,10.05494810456791
137,Hands Up,0,9,9,10.034966975634124
138,Country Rock,0,10,10,10.039962257867568
140,Rhythm & Blues,0,13,13,10.05494810456791
141,Ghetto,0,4,4,10.009990564466893
142,Country,0,6,6,10.019981128933784
144,Cha-Cha,0,3,3,10.004995282233446
146,Nu Metal,0,30,30,10.139867902536492
147,Cut-up/DJ,0,6,6,10.019981128933784
148,Reggaeton,0,2,2,10.0
149,Ragga,0,8,8,10.029971693400677
150,Illbient,0,2,2,10.0
