source_id,source_name,target_id,target_name,weight,year,percentage,width
27,house,50,tech house,1436,2014,37.298701298701296,37.298701298701296
50,tech house,27,house,1436,2014,50.42134831460674,50.42134831460674
27,house,35,disco,399,2014,10.363636363636363,10.363636363636363
35,disco,27,house,399,2014,58.24817518248175,58.24817518248175
6,dub techno,42,techno,38,2014,49.35064935064935,49.35064935064935
42,techno,6,dub techno,38,2014,2.7298850574712645,2.7298850574712645
14,deep house,27,house,863,2014,66.53816499614496,66.53816499614496
27,house,14,deep house,863,2014,22.415584415584416,22.415584415584416
46,minimal,50,tech house,319,2014,30.352045670789725,30.352045670789725
50,tech house,46,minimal,319,2014,11.200842696629215,11.200842696629215
42,techno,50,tech house,793,2014,56.9683908045977,56.9683908045977
50,tech house,42,techno,793,2014,27.844101123595504,27.844101123595504
14,deep house,24,chill out,21,2014,1.6191210485736314,1.6191210485736314
24,chill out,14,deep house,21,2014,17.94871794871795,17.94871794871795
27,house,42,techno,160,2014,4.1558441558441555,4.1558441558441555
42,techno,27,house,160,2014,11.494252873563218,11.494252873563218
42,techno,47,electro,54,2014,3.8793103448275863,3.8793103448275863
47,electro,42,techno,54,2014,32.53012048192771,32.53012048192771
14,deep house,50,tech house,95,2014,7.324595219737856,7.324595219737856
50,tech house,14,deep house,95,2014,3.335674157303371,3.335674157303371
8,ambient,27,house,5,2014,7.462686567164178,7.462686567164178
8,ambient,42,techno,13,2014,19.402985074626866,19.402985074626866
23,italodance,33,trance,3,2014,100.0,100.0
12,jungle,27,house,4,2014,4.878048780487805,4.878048780487805
2,hip hop,28,pop,13,2014,9.219858156028367,9.219858156028367
28,pop,2,hip hop,13,2014,8.609271523178808,8.609271523178808
21,progressive house,50,tech house,62,2014,8.0,8.0
50,tech house,21,progressive house,62,2014,2.1769662921348316,2.1769662921348316
47,electro,46,minimal,7,2014,4.216867469879518,4.216867469879518
47,electro,50,tech house,38,2014,22.89156626506024,22.89156626506024
50,tech house,47,electro,38,2014,1.3342696629213482,1.3342696629213482
40,downtempo,14,deep house,4,2014,21.052631578947366,21.052631578947366
40,downtempo,27,house,2,2014,10.526315789473683,10.526315789473683
33,trance,38,progressive trance,980,2014,86.19173262972735,86.19173262972735
38,progressive trance,33,trance,980,2014,75.67567567567568,75.67567567567568
18,psytrance,33,trance,30,2014,45.45454545454545,45.45454545454545
33,trance,18,psytrance,30,2014,2.638522427440633,2.638522427440633
42,techno,46,minimal,179,2014,12.859195402298852,12.859195402298852
46,minimal,42,techno,179,2014,17.0313986679353,17.0313986679353
47,electro,27,house,34,2014,20.481927710843372,20.481927710843372
27,house,46,minimal,358,2014,9.2987012987013,9.2987012987013
46,minimal,27,house,358,2014,34.0627973358706,34.0627973358706
21,progressive house,38,progressive trance,262,2014,33.806451612903224,33.806451612903224
38,progressive trance,21,progressive house,262,2014,20.231660231660232,20.231660231660232
2,hip hop,27,house,36,2014,25.53191489361702,25.53191489361702
2,hip hop,37,uk garage,6,2014,4.25531914893617,4.25531914893617
37,uk garage,2,hip hop,6,2014,21.428571428571427,21.428571428571427
37,uk garage,27,house,15,2014,53.57142857142857,53.57142857142857
24,chill out,27,house,12,2014,10.256410256410255,10.256410256410255
21,progressive house,33,trance,70,2014,9.032258064516128,9.032258064516128
33,trance,21,progressive house,70,2014,6.156552330694811,6.156552330694811
1,deep tech house,27,house,21,2014,20.0,20.0
2,hip hop,32,funk,3,2014,2.127659574468085,2.127659574468085
2,hip hop,35,disco,3,2014,2.127659574468085,2.127659574468085
32,funk,2,hip hop,3,2014,1.2875536480686696,1.2875536480686696
32,funk,35,disco,59,2014,25.321888412017167,25.321888412017167
35,disco,32,funk,59,2014,8.613138686131387,8.613138686131387
24,chill out,31,soul,15,2014,12.82051282051282,12.82051282051282
24,chill out,32,funk,14,2014,11.965811965811966,11.965811965811966
31,soul,24,chill out,15,2014,10.79136690647482,10.79136690647482
31,soul,32,funk,64,2014,46.043165467625904,46.043165467625904
32,funk,24,chill out,14,2014,6.008583690987124,6.008583690987124
32,funk,31,soul,64,2014,27.467811158798284,27.467811158798284
2,hip hop,30,dubstep,6,2014,4.25531914893617,4.25531914893617
30,dubstep,2,hip hop,6,2014,7.894736842105263,7.894736842105263
26,idm,46,minimal,4,2014,12.121212121212121,12.121212121212121
28,pop,35,disco,60,2014,39.735099337748345,39.735099337748345
35,disco,28,pop,60,2014,8.75912408759124,8.75912408759124
14,deep house,46,minimal,119,2014,9.175019275250579,9.175019275250579
46,minimal,14,deep house,119,2014,11.322549952426261,11.322549952426261
24,chill out,28,pop,3,2014,2.564102564102564,2.564102564102564
