id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,149,149,298,301,14.839408155900397
2,hip hop,103,103,206,103,11.623962468422953
3,hardcore,29,29,58,71,11.104294478527608
5,drum and bass,65,65,130,699,21.302778780223747
6,dub techno,56,56,112,60,10.925658607001083
7,breakbeat,12,12,24,16,10.211115120894984
8,ambient,113,113,226,131,12.078671959581378
10,synth pop,33,33,66,27,10.389750992421508
12,jungle,27,27,54,42,10.63334536268495
13,world music,2,2,4,6,10.048718874052689
14,deep house,1513,1513,3026,1664,36.97401660050524
15,experimental,50,50,100,69,11.071815229159148
17,reggae,12,12,24,61,10.941898231685313
18,psytrance,78,78,156,85,11.33164922410682
19,rave,36,36,72,31,10.454709491158427
20,acid house,32,32,64,29,10.422230241789968
21,progressive house,713,713,1426,933,25.102850956333455
22,dub,38,38,76,35,10.519667989895344
23,italodance,11,11,22,9,10.097437748105378
24,chill out,148,148,296,201,13.215445687477445
25,jazz,77,77,154,49,10.747022735474557
26,idm,34,34,68,34,10.503428365211114
27,house,3948,3948,7896,5545,100.0
28,pop,116,116,232,107,11.68892096715987
30,dubstep,14,14,28,35,10.519667989895344
31,soul,116,116,232,77,11.201732226632984
32,funk,208,208,416,139,12.208588957055214
33,trance,852,852,1704,980,25.86611331649224
35,disco,630,630,1260,693,21.20534103211837
36,dancehall,4,4,8,12,10.146156622158065
37,uk garage,11,11,22,24,10.34103211836882
38,progressive trance,902,902,1804,836,23.52760736196319
39,latin,9,9,18,8,10.081198123421148
40,downtempo,77,77,154,53,10.811981234211476
41,ebm,6,6,12,6,10.048718874052689
42,techno,1344,1344,2688,2483,50.27426921688921
43,freestyle,2,2,4,3,10.0
44,hard trance,8,8,16,5,10.032479249368459
45,acid techno,20,20,40,15,10.194875496210754
46,minimal,1024,1024,2048,756,22.22843738722483
47,electro,147,147,294,142,12.257307831107903
48,deep space house,53,53,106,53,10.811981234211476
49,hardstyle,4,4,8,27,10.389750992421508
50,tech house,2817,2817,5634,3078,59.93684590400577
51,rock,21,21,42,25,10.35727174305305
52,hard techno,8,8,16,56,10.860700108264165
53,breaks,6,6,12,6,10.048718874052689
