id,name,outgoing_weight,incoming_weight,total_weight,size
163,Video Game Music,0,20,20,10.109404990403071
165,Goa Trance,0,14,14,10.07485604606526
166,Neo Soul,0,17,17,10.092130518234166
168,Radioplay,0,6,6,10.028790786948177
169,Flamenco,0,6,6,10.028790786948177
171,Glitch,0,174,174,10.99616122840691
172,Classic Rock,0,6,6,10.028790786948177
173,Hard Rock,0,10,10,10.051823416506718
174,Lo-Fi,0,9,9,10.046065259117082
175,Surf,0,4,4,10.017274472168905
176,Punk,0,41,41,10.230326295585412
177,Ambient House,0,1,1,10.0
178,Ghettotech,0,4,4,10.017274472168905
179,Deep Techno,0,25,25,10.138195777351248
180,Speech,0,5,5,10.023032629558541
181,Holiday,0,2,2,10.005758157389636
182,Balearic,0,1,1,10.0
183,Parody,0,8,8,10.040307101727446
184,Political,0,2,2,10.005758157389636
185,Score,0,8,8,10.040307101727446
187,Latin Jazz,0,18,18,10.0978886756238
189,Folk Rock,0,22,22,10.12092130518234
190,Breakcore,0,45,45,10.253358925143953
191,Roots Reggae,0,2,2,10.005758157389636
192,Bossa Nova,0,5,5,10.023032629558541
193,Thug Rap,0,5,5,10.023032629558541
196,Religious,0,11,11,10.057581573896353
197,Spoken Word,0,8,8,10.040307101727446
198,New Age,0,24,24,10.132437619961612
199,Chillwave,0,7,7,10.03454894433781
200,Smooth Jazz,0,5,5,10.023032629558541
201,Progressive Breaks,0,32,32,10.178502879078696
202,New Wave,0,40,40,10.224568138195778
203,Psy-Trance,0,67,67,10.380038387715931
204,Jazzy Hip-Hop,0,6,6,10.028790786948177
205,Avantgarde,0,11,11,10.057581573896353
206,Electroclash,0,41,41,10.230326295585412
210,Gabber,0,50,50,10.282149712092131
212,Rhythmic Noise,0,23,23,10.126679462571976
213,Instrumental,0,8,8,10.040307101727446
214,Psychedelic Rock,0,11,11,10.057581573896353
215,Anison,0,10,10,10.051823416506718
216,Symphonic Rock,0,1,1,10.0
217,Contemporary Jazz,0,14,14,10.07485604606526
218,Heavy Metal,0,14,14,10.07485604606526
219,Poetry,0,1,1,10.0
220,Calypso,0,1,1,10.0
221,Swing,0,2,2,10.005758157389636
224,Gangsta,0,7,7,10.03454894433781
225,Chiptune,0,65,65,10.36852207293666
228,Crunk,0,2,2,10.005758157389636
229,Sound Collage,0,2,2,10.005758157389636
230,Britpop,0,5,5,10.023032629558541
231,Swingbeat,0,1,1,10.0
232,Dubstep,0,19,19,10.103646833013435
234,Post-Punk,0,8,8,10.040307101727446
237,Blues Rock,0,11,11,10.057581573896353
240,Power Pop,0,3,3,10.01151631477927
242,Cumbia,0,1,1,10.0
245,Classical,0,3,3,10.01151631477927
248,Soul-Jazz,0,16,16,10.08637236084453
250,Prog Rock,0,4,4,10.017274472168905
251,Drone,0,4,4,10.017274472168905
252,Nerdcore Techno,0,5,5,10.023032629558541
253,J-Core,0,3,3,10.01151631477927
254,Grindcore,0,2,2,10.005758157389636
255,Tango,0,3,3,10.01151631477927
256,Bolero,0,1,1,10.0
259,Turntablism,0,1,1,10.0
261,Big Band,0,3,3,10.01151631477927
263,Glam,0,4,4,10.017274472168905
265,Boogie,0,1,1,10.0
267,Garage Rock,0,9,9,10.046065259117082
268,Thrash,0,2,2,10.005758157389636
269,Art Rock,0,4,4,10.017274472168905
270,Rockabilly,0,2,2,10.005758157389636
274,Light Music,0,1,1,10.0
278,Bassline,0,2,2,10.005758157389636
279,Mariachi,0,1,1,10.0
280,Boom Bap,0,2,2,10.005758157389636
282,Goth Rock,0,3,3,10.01151631477927
284,DJ Battle Tool,0,11,11,10.057581573896353
286,Hardcore Hip-Hop,0,1,1,10.0
290,Shoegaze,0,4,4,10.017274472168905
293,Dark Ambient,0,12,12,10.06333973128599
294,Bass Music,0,2,2,10.005758157389636
296,Ranchera,0,2,2,10.005758157389636
298,Free Jazz,0,6,6,10.028790786948177
299,Freetekno,0,52,52,10.293666026871401
300,Grunge,0,1,1,10.0
301,Jazz-Rock,0,6,6,10.028790786948177
303,Coldwave,0,1,1,10.0
306,Space Rock,0,1,1,10.0
307,Schranz,0,69,69,10.391554702495203
309,Neo-Classical,0,1,1,10.0
311,Krautrock,0,8,8,10.040307101727446
313,Power Electronics,0,5,5,10.023032629558541
318,Afro-Cuban Jazz,0,2,2,10.005758157389636
319,Free Improvisation,0,2,2,10.005758157389636
320,Math Rock,0,3,3,10.01151631477927
321,Gothic Metal,0,1,1,10.0
322,Death Metal,0,4,4,10.017274472168905
323,Darkwave,0,10,10,10.051823416506718
324,Power Metal,0,2,2,10.005758157389636
