id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,20,20,40,90,12.08963282937365
2,hip hop,64,64,128,56,11.263498920086393
3,hardcore,18,18,36,130,13.061555075593953
5,drum and bass,81,81,162,718,27.348812095032397
6,dub techno,18,18,36,32,10.680345572354211
7,breakbeat,21,21,42,29,10.607451403887689
8,ambient,38,38,76,67,11.530777537796975
10,synth pop,21,21,42,22,10.437365010799136
12,jungle,7,7,14,8,10.097192224622031
14,deep house,396,396,792,629,25.186285097192226
15,experimental,30,30,60,38,10.826133909287257
17,reggae,33,33,66,38,10.826133909287257
19,rave,6,6,12,11,10.170086393088553
20,acid house,17,17,34,19,10.364470842332613
21,progressive house,236,236,472,1438,44.84341252699784
22,dub,38,38,76,30,10.631749460043196
23,italodance,9,9,18,21,10.413066954643629
24,chill out,68,68,136,232,15.539956803455723
25,jazz,42,42,84,25,10.51025917926566
26,idm,38,38,76,34,10.728941684665227
27,house,1625,1625,3250,3708,100.0
28,pop,87,87,174,91,12.113930885529157
30,dubstep,135,135,270,227,15.418466522678186
31,soul,158,158,316,87,12.016738660907127
32,funk,156,156,312,86,11.99244060475162
33,trance,203,203,406,1808,53.833693304535636
35,disco,417,417,834,454,20.934125269978402
37,uk garage,14,14,28,23,10.461663066954644
38,progressive trance,94,94,188,90,12.08963282937365
39,latin,5,5,10,10,10.145788336933045
40,downtempo,18,18,36,24,10.485961123110151
41,ebm,6,6,12,4,10.0
42,techno,709,709,1418,1094,36.48488120950324
43,freestyle,4,4,8,4,10.0
44,hard trance,17,17,34,43,10.947624190064795
45,acid techno,8,8,16,11,10.170086393088553
46,minimal,541,541,1082,487,21.73596112311015
47,electro,72,72,144,75,11.725161987041037
49,hardstyle,20,20,40,207,14.932505399568035
50,tech house,1403,1403,2806,1882,55.631749460043196
51,rock,7,7,14,16,10.291576673866091
52,hard techno,9,9,18,53,11.19060475161987
53,breaks,9,9,18,11,10.170086393088553
