id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,17,17,34,74,12.836218375499335
2,hip hop,60,60,120,71,12.716378162450066
3,hardcore,10,10,20,69,12.636484687083888
4,big beat,3,3,6,4,10.039946737683088
5,drum and bass,66,66,132,672,36.724367509986685
6,dub techno,54,54,108,45,11.677762982689748
7,breakbeat,17,17,34,38,11.398135818908123
8,ambient,28,28,56,57,12.157123834886818
10,synth pop,27,27,54,29,11.03861517976032
12,jungle,9,9,18,12,10.359520639147803
13,world music,3,3,6,7,10.159786950732357
14,deep house,279,279,558,393,25.579227696404793
15,experimental,15,15,30,16,10.51930758988016
17,reggae,31,31,62,20,10.679094540612518
19,rave,2,2,4,4,10.039946737683088
20,acid house,15,15,30,15,10.47936085219707
21,progressive house,106,106,212,732,39.12117177097204
22,dub,26,26,52,17,10.559254327563249
24,chill out,50,50,100,87,13.355525965379494
25,jazz,41,41,82,45,11.677762982689748
26,idm,13,13,26,24,10.838881491344873
27,house,1392,1392,2784,2256,100.0
28,pop,57,57,114,56,12.11717709720373
30,dubstep,138,138,276,194,17.62982689747004
31,soul,173,173,346,95,13.675099866844208
32,funk,175,175,350,97,13.754993342210387
33,trance,91,91,182,1402,65.88548601864181
35,disco,332,332,664,341,23.501997336884152
36,dancehall,3,3,6,8,10.199733688415446
37,uk garage,36,36,72,35,11.278295605858855
38,progressive trance,56,56,112,57,12.157123834886818
39,latin,6,6,12,13,10.399467376830891
40,downtempo,10,10,20,17,10.559254327563249
41,ebm,3,3,6,3,10.0
42,techno,375,375,750,507,30.133155792276963
44,hard trance,10,10,20,36,11.318242343541945
45,acid techno,3,3,6,4,10.039946737683088
46,minimal,959,959,1918,891,45.47270306258322
47,electro,57,57,114,50,11.877496671105193
49,hardstyle,12,12,24,167,16.55126498002663
50,tech house,1323,1323,2646,1493,69.52063914780294
51,rock,32,32,64,31,11.118508655126497
52,hard techno,5,5,10,39,11.438082556591212
53,breaks,2,2,4,8,10.199733688415446
