id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,110,110,220,242,17.05014749262537
2,hip hop,61,61,122,70,11.976401179941004
3,hardcore,32,32,64,46,11.268436578171091
5,drum and bass,73,73,146,573,26.8141592920354
6,dub techno,47,47,94,46,11.268436578171091
7,breakbeat,24,24,48,16,10.383480825958703
8,ambient,181,181,362,157,14.542772861356932
10,synth pop,88,88,176,62,11.740412979351031
12,jungle,39,39,78,42,11.150442477876107
13,world music,36,36,72,33,10.88495575221239
14,deep house,971,971,1942,1016,39.882005899705014
15,experimental,88,88,176,79,12.24188790560472
16,bassline,2,2,4,7,10.117994100294986
17,reggae,30,30,60,34,10.914454277286136
18,psytrance,51,51,102,49,11.35693215339233
19,rave,19,19,38,17,10.412979351032448
20,acid house,34,34,68,25,10.64896755162242
21,progressive house,472,472,944,504,24.778761061946902
22,dub,47,47,94,33,10.88495575221239
23,italodance,16,16,32,28,10.737463126843657
24,chill out,136,136,272,129,13.716814159292035
25,jazz,95,95,190,61,11.710914454277287
26,idm,68,68,136,53,11.474926253687315
27,house,2418,2418,4836,3054,100.0
28,pop,53,53,106,61,11.710914454277287
30,dubstep,28,28,56,30,10.79646017699115
31,soul,149,149,298,88,12.507374631268437
32,funk,124,124,248,78,12.212389380530974
33,trance,362,362,724,532,25.604719764011797
34,happy hardcore,8,8,16,7,10.117994100294986
35,disco,520,520,1040,431,22.62536873156342
36,dancehall,8,8,16,17,10.412979351032448
37,uk garage,39,39,78,39,11.061946902654867
38,progressive trance,160,160,320,146,14.218289085545724
39,latin,51,51,102,31,10.825958702064897
40,downtempo,102,102,204,74,12.094395280235988
41,ebm,45,45,90,41,11.12094395280236
42,techno,1104,1104,2208,2128,72.68436578171091
43,freestyle,3,3,6,3,10.0
44,hard trance,6,6,12,7,10.117994100294986
45,acid techno,17,17,34,20,10.501474926253687
46,minimal,309,309,618,231,16.72566371681416
47,electro,191,191,382,158,14.572271386430678
48,deep space house,52,52,104,53,11.474926253687315
49,hardstyle,4,4,8,9,10.176991150442477
50,tech house,1647,1647,3294,1807,63.21533923303835
51,rock,19,19,38,18,10.442477876106194
52,hard techno,13,13,26,57,11.5929203539823
53,breaks,10,10,20,8,10.14749262536873
