id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
2,hip hop,7,7,14,21,13.454157782515992
3,hardcore,12,12,24,33,15.756929637526653
5,drum and bass,2,2,4,463,98.27292110874201
7,breakbeat,7,7,14,20,13.26226012793177
10,synth pop,11,11,22,8,10.959488272921108
12,jungle,2,2,4,4,10.191897654584222
14,deep house,21,21,42,28,14.797441364605543
15,experimental,4,4,8,6,10.575692963752665
18,psytrance,2,2,4,17,12.686567164179104
19,rave,6,6,12,3,10.0
20,acid house,8,8,16,6,10.575692963752665
21,progressive house,143,143,286,361,78.69936034115139
22,dub,2,2,4,3,10.0
23,italodance,11,11,22,8,10.959488272921108
26,idm,2,2,4,5,10.383795309168443
27,house,217,217,434,325,71.7910447761194
28,pop,5,5,10,7,10.767590618336888
30,dubstep,7,7,14,57,20.362473347547976
31,soul,5,5,10,6,10.575692963752665
32,funk,6,6,12,6,10.575692963752665
33,trance,119,119,238,472,100.0
35,disco,29,29,58,60,20.93816631130064
38,progressive trance,25,25,50,29,14.989339019189766
42,techno,157,157,314,368,80.04264392324095
44,hard trance,94,94,188,117,31.87633262260128
46,minimal,147,147,294,164,40.8955223880597
47,electro,60,60,120,56,20.17057569296375
49,hardstyle,76,76,152,157,39.55223880597015
50,tech house,274,274,548,324,71.59914712153518
52,hard techno,13,13,26,55,19.97867803837953
53,breaks,36,36,72,49,18.8272921108742
