id,name,outgoing_weight,incoming_weight,total_weight,size
3,Tech House,4753,1539,6292,53.03633875627186
4,Deep House,6411,1542,7953,64.400942679033
8,Progressive House,3416,770,4186,38.627033601946174
15,Disco,4702,336,5038,44.45643910597537
16,Trance,2388,649,3037,30.76554660179413
20,Electro,12010,1146,13156,100.0
25,Minimal,5400,1006,6406,53.816329633571534
40,Ambient,6790,1638,8428,67.65090466778166
74,Drum n Bass,6476,288,6764,56.26577466930212
1,House,0,4571,4571,41.26121331914247
2,Hard House,0,63,63,10.417363539607724
5,Garage House,0,151,151,11.019461760681162
6,Acid House,0,304,304,12.066291622320207
7,Euro House,0,130,130,10.875779230652274
9,Tribal House,0,99,99,10.663676448228674
10,French House,0,59,59,10.38999543864984
11,Electro House,0,346,346,12.353656682377984
12,Ghetto House,0,15,15,10.08894632811312
13,Hip-House,0,32,32,10.205260757184126
14,Italo House,0,74,74,10.492625817241905
17,Latin,0,101,101,10.677360498707618
18,Italodance,0,34,34,10.218944807663068
19,Tribal,0,193,193,11.306826820738939
21,Downtempo,0,1293,1293,18.833054584156912
22,Techno,0,3841,3841,36.26653489432872
23,Abstract,0,717,717,14.89204804622168
24,Breaks,0,922,922,16.294663220313215
26,Acid,0,995,995,16.794131062794587
27,Ballroom,0,3,3,10.00684202523947
28,Funk,0,609,609,14.153109320358826
29,Dub,0,416,416,12.832598449140946
30,Afrobeat,0,68,68,10.451573665805078
31,Europop,0,92,92,10.61578227155238
32,Breakbeat,0,1112,1112,17.59464801581268
34,Vocal,0,94,94,10.629466322031321
35,Jazzdance,0,22,22,10.136840504789417
36,Soca,0,6,6,10.027368100957883
37,Schlager,0,24,24,10.150524555268358
38,Makina,0,8,8,10.041052151436826
41,Microhouse,0,139,139,10.937357457807511
42,Experimental,0,2584,2584,27.666109168313824
44,Future Jazz,0,70,70,10.46525771628402
45,UK Garage,0,209,209,11.416299224570473
46,Big Beat,0,46,46,10.30104911053672
47,Soul,0,386,386,12.62733769195682
48,Freestyle,0,56,56,10.369469362931428
49,Jazz-Funk,0,119,119,10.800516953018093
50,Contemporary,0,146,146,10.985251634483808
51,Dancehall,0,22,22,10.136840504789417
52,Speed Garage,0,18,18,10.109472403831536
53,Progressive Trance,0,656,656,14.474684506613958
54,Hip Hop,0,164,164,11.108408088794283
55,Donk,0,8,8,10.041052151436826
57,Juke,0,34,34,10.218944807663068
58,African,0,132,132,10.889463281131215
59,Hard Trance,0,158,158,11.067355937357458
60,Dub Techno,0,404,404,12.750494146267295
61,Synth-pop,0,1340,1340,19.154629770412043
62,RnB/Swing,0,13,13,10.07526227763418
63,Rocksteady,0,7,7,10.034210126197355
64,Broken Beat,0,193,193,11.306826820738939
65,Tropical House,0,34,34,10.218944807663068
66,J-pop,0,49,49,10.321575186255131
67,Eurodance,0,87,87,10.581572145355025
68,Soundtrack,0,221,221,11.498403527444124
69,Ballad,0,104,104,10.69788657442603
70,Theme,0,18,18,10.109472403831536
71,Gospel,0,28,28,10.177892656226243
72,Hardstyle,0,78,78,10.519993918199788
75,Salsa,0,20,20,10.123156454310475
76,Promotional,0,2,2,10.0
77,Euro-Disco,0,39,39,10.253154933860422
78,Batucada,0,8,8,10.041052151436826
79,MPB,0,20,20,10.123156454310475
80,Novelty,0,3,3,10.00684202523947
81,Dance-pop,0,539,539,13.674167553595865
82,Mambo,0,5,5,10.020526075718411
83,Lounge,0,16,16,10.095788353352592
84,Hi NRG,0,57,57,10.3763113881709
85,Acoustic,0,54,54,10.355785312452486
87,Jersey Club,0,21,21,10.129998479549947
88,Pop Rap,0,98,98,10.656834422989204
89,Pop Rock,0,155,155,11.046829861639045
90,Jumpstyle,0,10,10,10.054736201915768
91,Comedy,0,7,7,10.034210126197355
92,Latin Pop,0,9,9,10.047894176676296
93,Nu-Disco,0,417,417,12.839440474380416
94,Bubblegum,0,20,20,10.123156454310475
95,Industrial,0,936,936,16.390451573665807
96,Mandopop,0,6,6,10.027368100957883
97,IDM,0,914,914,16.239927018397445
98,Trip Hop,0,156,156,11.053671886878515
99,Raï,0,5,5,10.020526075718411
100,Grime,0,36,36,10.23262885814201
101,Eurobeat,0,26,26,10.164208605747302
102,Jungle,0,1123,1123,17.66991029344686
103,Tech Trance,0,378,378,12.572601490041052
104,Alternative Rock,0,186,186,11.258932644062643
105,Italo-Disco,0,168,168,11.135776189752168
106,Leftfield,0,402,402,12.736810095788353
107,Folk,0,150,150,11.01261973544169
109,Reggae,0,52,52,10.342101261973543
110,Soft Rock,0,30,30,10.191576706705185
111,Modern Classical,0,256,256,11.737874410825604
112,Fusion,0,60,60,10.39683746388931
113,Contemporary R&B,0,115,115,10.77314885206021
114,EBM,0,685,685,14.673103238558614
115,Happy Hardcore,0,107,107,10.718412650144442
116,New Beat,0,47,47,10.30789113577619
118,Hard Techno,0,71,71,10.47209974152349
119,Easy Listening,0,13,13,10.07526227763418
120,Bossanova,0,14,14,10.08210430287365
121,Ragga HipHop,0,4,4,10.013684050478942
122,Indie Rock,0,150,150,11.01261973544169
123,Chanson,0,46,46,10.30104911053672
124,Zouk,0,7,7,10.034210126197355
125,Hardcore,0,407,407,12.771020221985708
126,Afro-Cuban,0,15,15,10.08894632811312
128,Acid Jazz,0,24,24,10.150524555268358
129,Reggae-Pop,0,10,10,10.054736201915768
130,Conscious,0,18,18,10.109472403831536
131,P.Funk,0,5,5,10.020526075718411
132,Neofolk,0,46,46,10.30104911053672
133,Samba,0,9,9,10.047894176676296
134,Minimal Techno,0,391,391,12.661547818154173
135,Arena Rock,0,5,5,10.020526075718411
136,Indie Pop,0,212,212,11.436825300288884
137,Hands Up,0,31,31,10.198418731944656
138,Country Rock,0,5,5,10.020526075718411
139,Canzone Napoletana,0,2,2,10.0
140,Rhythm & Blues,0,38,38,10.246312908620952
141,Ghetto,0,11,11,10.061578227155238
142,Country,0,11,11,10.061578227155238
145,UK Funky,0,10,10,10.054736201915768
146,Nu Metal,0,10,10,10.054736201915768
147,Cut-up/DJ,0,12,12,10.06842025239471
148,Reggaeton,0,31,31,10.198418731944656
149,Ragga,0,3,3,10.00684202523947
150,Illbient,0,38,38,10.246312908620952
152,Noise,0,321,321,12.182606051391213
153,New Jack Swing,0,9,9,10.047894176676296
154,Ska,0,12,12,10.06842025239471
155,Beatdown,0,17,17,10.102630378592064
156,Post Rock,0,95,95,10.636308347270793
158,Baltimore Club,0,8,8,10.041052151436826
159,Lento Violento,0,5,5,10.020526075718411
161,Rock & Roll,0,37,37,10.23947088338148
