id,name,outgoing_weight,incoming_weight,total_weight,size
3,Tech House,11515,8087,19602,93.4516037468067
4,Deep House,7618,2307,9925,52.24950326426341
8,Progressive House,8627,2865,11492,58.9213738291229
15,Disco,9071,1079,10150,53.20749361339767
16,Trance,7041,1650,8691,46.995458416122624
20,Electro,16978,4162,21140,100.0
25,Minimal,13820,4382,18202,87.49077490774907
40,Ambient,16943,1330,18273,87.793074084587
74,Drum n Bass,4933,421,5354,32.78739710474028
1,House,0,12737,12737,64.22225376099915
2,Hard House,0,234,234,10.987794493329549
5,Garage House,0,225,225,10.949474879364178
7,Euro House,0,1075,1075,14.568549531649163
9,Tribal House,0,397,397,11.681805279591257
11,Electro House,0,1338,1338,15.688333806414988
18,Italodance,0,171,171,10.719557195571955
21,Downtempo,0,2846,2846,22.108998013057054
22,Techno,0,8300,8300,45.330684076071535
23,Abstract,0,1609,1609,16.84217996026114
24,Breaks,0,957,957,14.066136815214307
28,Funk,0,724,724,13.074084586999717
29,Dub,0,656,656,12.784558614816918
31,Europop,0,504,504,12.137382912290661
32,Breakbeat,0,863,863,13.665909736020438
34,Vocal,0,338,338,11.430598921373829
42,Experimental,0,3615,3615,25.383196139653705
44,Future Jazz,0,230,230,10.970763553789384
46,Big Beat,0,138,138,10.579051944365599
47,Soul,0,619,619,12.627022424070395
53,Progressive Trance,0,2600,2600,21.06159523133693
54,Hip Hop,0,536,536,12.273630428611977
59,Hard Trance,0,641,641,12.7206925915413
60,Dub Techno,0,712,712,13.022991768379223
61,Synth-pop,0,2268,2268,19.648027249503265
64,Broken Beat,0,239,239,11.009083167754754
67,Eurodance,0,164,164,10.689753051376668
69,Ballad,0,362,362,11.532784558614818
81,Dance-pop,0,442,442,11.873403349418108
88,Pop Rap,0,369,369,11.562588702810105
89,Pop Rock,0,734,734,13.116661935850127
95,Industrial,0,905,905,13.844734601192167
97,IDM,0,1535,1535,16.527107578768096
102,Jungle,0,352,352,11.490207209764405
103,Tech Trance,0,144,144,10.604598353675843
104,Alternative Rock,0,516,516,12.188475730911154
105,Italo-Disco,0,308,308,11.302866874822595
106,Leftfield,0,705,705,12.993187624183935
111,Modern Classical,0,516,516,12.188475730911154
114,EBM,0,402,402,11.703093954016463
122,Indie Rock,0,675,675,12.865455577632698
125,Hardcore,0,314,314,11.328413284132841
137,Hands Up,0,157,157,10.659948907181379
152,Noise,0,838,838,13.55946636389441
156,Post Rock,0,324,324,11.370990632983254
171,Glitch,0,510,510,12.16292932160091
190,Breakcore,0,256,256,11.081464660800453
198,New Age,0,364,364,11.5413000283849
202,New Wave,0,498,498,12.111836502980415
232,Dubstep,0,811,811,13.444507521998299
251,Drone,0,1283,1283,15.454158387737724
293,Dark Ambient,0,512,512,12.171444791370991
