source_id,source_name,target_id,target_name,weight,year,width
3,Tech House,1,House,1402,2015,11.0
3,Tech House,20,Electro,79,2015,1.556745182012848
3,Tech House,25,Minimal,564,2015,5.018558172733762
3,Tech House,4,Deep House,1399,2015,10.978586723768737
3,Tech House,17,Latin,4,2015,1.0214132762312633
3,Tech House,6,Acid House,36,2015,1.249821556031406
3,Tech House,8,Progressive House,316,2015,3.2483940042826553
3,Tech House,22,Techno,1275,2015,10.093504639543184
3,Tech House,9,Tribal House,15,2015,1.0999286224125624
3,Tech House,23,Abstract,8,2015,1.0499643112062813
3,Tech House,26,Acid,52,2015,1.3640256959314776
3,Tech House,67,Eurodance,3,2015,1.0142755174875089
3,Tech House,42,Experimental,31,2015,1.214132762312634
3,Tech House,19,Tribal,16,2015,1.1070663811563168
3,Tech House,106,Leftfield,16,2015,1.1070663811563168
3,Tech House,177,Ambient House,1,2015,1.0
3,Tech House,107,Folk,4,2015,1.0214132762312633
3,Tech House,15,Disco,26,2015,1.1784439685938615
3,Tech House,21,Downtempo,59,2015,1.4139900071377587
3,Tech House,40,Ambient,33,2015,1.2284082798001428
3,Tech House,11,Electro House,70,2015,1.4925053533190578
3,Tech House,134,Minimal Techno,105,2015,1.742326909350464
3,Tech House,103,Tech Trance,24,2015,1.1641684511063526
3,Tech House,29,Dub,14,2015,1.092790863668808
3,Tech House,54,Hip Hop,13,2015,1.0856531049250535
3,Tech House,95,Industrial,5,2015,1.0285510349750178
3,Tech House,34,Vocal,10,2015,1.0642398286937902
3,Tech House,32,Breakbeat,13,2015,1.0856531049250535
3,Tech House,404,Neo Trance,2,2015,1.0071377587437544
3,Tech House,24,Breaks,21,2015,1.1427551748750893
3,Tech House,171,Glitch,10,2015,1.0642398286937902
3,Tech House,232,Dubstep,11,2015,1.0713775874375446
3,Tech House,45,UK Garage,7,2015,1.0428265524625269
3,Tech House,60,Dub Techno,29,2015,1.1998572448251248
3,Tech House,97,IDM,12,2015,1.078515346181299
3,Tech House,179,Deep Techno,10,2015,1.0642398286937902
3,Tech House,16,Trance,24,2015,1.1641684511063526
3,Tech House,64,Broken Beat,2,2015,1.0071377587437544
3,Tech House,311,Krautrock,3,2015,1.0142755174875089
3,Tech House,93,Nu-Disco,5,2015,1.0285510349750178
3,Tech House,52,Speed Garage,1,2015,1.0
3,Tech House,156,Post Rock,8,2015,1.0499643112062813
3,Tech House,61,Synth-pop,31,2015,1.214132762312634
3,Tech House,280,Boom Bap,2,2015,1.0071377587437544
3,Tech House,136,Indie Pop,7,2015,1.0428265524625269
3,Tech House,332,Synthwave,1,2015,1.0
3,Tech House,163,Video Game Music,1,2015,1.0
3,Tech House,98,Trip Hop,8,2015,1.0499643112062813
3,Tech House,275,No Wave,2,2015,1.0071377587437544
3,Tech House,114,EBM,2,2015,1.0071377587437544
3,Tech House,5,Garage House,8,2015,1.0499643112062813
3,Tech House,30,Afrobeat,3,2015,1.0142755174875089
3,Tech House,104,Alternative Rock,18,2015,1.121341898643826
3,Tech House,278,Bassline,4,2015,1.0214132762312633
3,Tech House,443,Witch House,2,2015,1.0071377587437544
3,Tech House,57,Juke,4,2015,1.0214132762312633
3,Tech House,44,Future Jazz,1,2015,1.0
3,Tech House,125,Hardcore,4,2015,1.0214132762312633
3,Tech House,115,Happy Hardcore,8,2015,1.0499643112062813
3,Tech House,2,Hard House,4,2015,1.0214132762312633
3,Tech House,74,Drum n Bass,17,2015,1.1142041399000713
3,Tech House,111,Modern Classical,2,2015,1.0071377587437544
3,Tech House,122,Indie Rock,16,2015,1.1070663811563168
3,Tech House,234,Post-Punk,5,2015,1.0285510349750178
3,Tech House,320,Math Rock,1,2015,1.0
3,Tech House,14,Italo House,1,2015,1.0
3,Tech House,31,Europop,6,2015,1.0356887937187722
3,Tech House,7,Euro House,12,2015,1.078515346181299
3,Tech House,12,Ghetto House,5,2015,1.0285510349750178
3,Tech House,65,Tropical House,9,2015,1.0571020699500357
3,Tech House,395,Trap,8,2015,1.0499643112062813
3,Tech House,160,Special Effects,1,2015,1.0
3,Tech House,72,Hardstyle,4,2015,1.0214132762312633
3,Tech House,81,Dance-pop,16,2015,1.1070663811563168
3,Tech House,68,Soundtrack,2,2015,1.0071377587437544
3,Tech House,340,Forró,1,2015,1.0
3,Tech House,118,Hard Techno,1,2015,1.0
3,Tech House,59,Hard Trance,7,2015,1.0428265524625269
3,Tech House,100,Grime,1,2015,1.0
3,Tech House,18,Italodance,1,2015,1.0
3,Tech House,201,Progressive Breaks,1,2015,1.0
3,Tech House,101,Eurobeat,1,2015,1.0
3,Tech House,245,Classical,1,2015,1.0
3,Tech House,53,Progressive Trance,4,2015,1.0214132762312633
3,Tech House,58,African,1,2015,1.0
3,Tech House,199,Chillwave,1,2015,1.0
3,Tech House,47,Soul,4,2015,1.0214132762312633
3,Tech House,202,New Wave,2,2015,1.0071377587437544
3,Tech House,51,Dancehall,2,2015,1.0071377587437544
3,Tech House,137,Hands Up,1,2015,1.0
3,Tech House,88,Pop Rap,7,2015,1.0428265524625269
3,Tech House,89,Pop Rock,9,2015,1.0571020699500357
3,Tech House,123,Chanson,2,2015,1.0071377587437544
3,Tech House,85,Acoustic,1,2015,1.0
3,Tech House,203,Psy-Trance,1,2015,1.0
3,Tech House,62,RnB/Swing,6,2015,1.0356887937187722
3,Tech House,210,Gabber,1,2015,1.0
3,Tech House,213,Instrumental,1,2015,1.0
3,Tech House,445,Griot,1,2015,1.0
3,Tech House,110,Soft Rock,2,2015,1.0071377587437544
3,Tech House,307,Schranz,1,2015,1.0
3,Tech House,225,Chiptune,1,2015,1.0
3,Tech House,124,Zouk,1,2015,1.0
3,Tech House,224,Gangsta,2,2015,1.0071377587437544
3,Tech House,148,Reggaeton,1,2015,1.0
3,Tech House,13,Hip-House,1,2015,1.0
3,Tech House,28,Funk,2,2015,1.0071377587437544
3,Tech House,129,Reggae-Pop,1,2015,1.0
3,Tech House,149,Ragga,1,2015,1.0
3,Tech House,36,Soca,1,2015,1.0
3,Tech House,90,Jumpstyle,1,2015,1.0
3,Tech House,109,Reggae,1,2015,1.0
3,Tech House,130,Conscious,1,2015,1.0
3,Tech House,143,Bounce,1,2015,1.0
3,Tech House,193,Thug Rap,1,2015,1.0
3,Tech House,333,Speedcore,1,2015,1.0
