id,name,outgoing_weight,incoming_weight,total_weight,size
3,Tech House,5737,559,6296,100.0
8,Progressive House,4976,325,5301,85.7721639656816
1,House,0,1886,1886,36.93994280266921
2,Hard House,0,37,37,10.50047664442326
4,Deep House,0,1837,1837,36.239275500476644
5,Garage House,0,20,20,10.257387988560534
6,Acid House,0,59,59,10.815061963775024
7,Euro House,0,51,51,10.700667302192565
9,Tribal House,0,62,62,10.857959961868445
10,French House,0,2,2,10.0
11,Electro House,0,549,549,17.821734985700665
12,Ghetto House,0,12,12,10.142993326978075
13,Hip-House,0,27,27,10.357483317445185
14,Italo House,0,2,2,10.0
15,Disco,0,48,48,10.657769304099142
16,Trance,0,319,319,14.532888465204957
17,Latin,0,10,10,10.114394661582459
18,Italodance,0,6,6,10.05719733079123
19,Tribal,0,19,19,10.243088655862726
20,Electro,0,183,183,12.588179218303145
21,Downtempo,0,174,174,12.45948522402288
22,Techno,0,1643,1643,33.465204957102
23,Abstract,0,13,13,10.157292659675882
24,Breaks,0,88,88,11.229742612011439
25,Minimal,0,581,581,18.279313632030505
26,Acid,0,47,47,10.643469971401334
27,Ballroom,0,2,2,10.0
28,Funk,0,6,6,10.05719733079123
29,Dub,0,16,16,10.200190657769303
30,Afrobeat,0,6,6,10.05719733079123
31,Europop,0,25,25,10.32888465204957
32,Breakbeat,0,36,36,10.486177311725452
34,Vocal,0,8,8,10.085795996186844
40,Ambient,0,93,93,11.301239275500476
42,Experimental,0,57,57,10.78646329837941
44,Future Jazz,0,13,13,10.157292659675882
45,UK Garage,0,17,17,10.214489990467111
46,Big Beat,0,14,14,10.171591992373688
47,Soul,0,7,7,10.071496663489038
50,Contemporary,0,2,2,10.0
51,Dancehall,0,16,16,10.200190657769303
53,Progressive Trance,0,506,506,17.206863679694948
54,Hip Hop,0,18,18,10.22878932316492
59,Hard Trance,0,12,12,10.142993326978075
60,Dub Techno,0,44,44,10.600571973307911
61,Synth-pop,0,78,78,11.086749285033365
62,RnB/Swing,0,11,11,10.128693994280267
64,Broken Beat,0,3,3,10.014299332697806
65,Tropical House,0,57,57,10.78646329837941
66,J-pop,0,10,10,10.114394661582459
67,Eurodance,0,8,8,10.085795996186844
68,Soundtrack,0,2,2,10.0
69,Ballad,0,11,11,10.128693994280267
70,Theme,0,3,3,10.014299332697806
72,Hardstyle,0,10,10,10.114394661582459
74,Drum n Bass,0,41,41,10.55767397521449
81,Dance-pop,0,98,98,11.372735938989514
85,Acoustic,0,2,2,10.0
88,Pop Rap,0,16,16,10.200190657769303
89,Pop Rock,0,18,18,10.22878932316492
90,Jumpstyle,0,4,4,10.028598665395615
93,Nu-Disco,0,68,68,10.943755958055291
95,Industrial,0,15,15,10.185891325071497
97,IDM,0,28,28,10.371782650142993
98,Trip Hop,0,2,2,10.0
100,Grime,0,3,3,10.014299332697806
101,Eurobeat,0,4,4,10.028598665395615
102,Jungle,0,3,3,10.014299332697806
103,Tech Trance,0,43,43,10.586272640610105
104,Alternative Rock,0,18,18,10.22878932316492
105,Italo-Disco,0,2,2,10.0
106,Leftfield,0,17,17,10.214489990467111
107,Folk,0,2,2,10.0
113,Contemporary R&B,0,6,6,10.05719733079123
114,EBM,0,12,12,10.142993326978075
115,Happy Hardcore,0,11,11,10.128693994280267
118,Hard Techno,0,2,2,10.0
122,Indie Rock,0,15,15,10.185891325071497
123,Chanson,0,2,2,10.0
125,Hardcore,0,22,22,10.285986653956149
128,Acid Jazz,0,3,3,10.014299332697806
134,Minimal Techno,0,169,169,12.387988560533842
136,Indie Pop,0,15,15,10.185891325071497
137,Hands Up,0,20,20,10.257387988560534
138,Country Rock,0,2,2,10.0
148,Reggaeton,0,2,2,10.0
156,Post Rock,0,6,6,10.05719733079123
159,Lento Violento,0,2,2,10.0
166,Neo Soul,0,2,2,10.0
171,Glitch,0,4,4,10.028598665395615
173,Hard Rock,0,2,2,10.0
179,Deep Techno,0,80,80,11.11534795042898
190,Breakcore,0,2,2,10.0
199,Chillwave,0,6,6,10.05719733079123
201,Progressive Breaks,0,53,53,10.72926596758818
202,New Wave,0,7,7,10.071496663489038
203,Psy-Trance,0,15,15,10.185891325071497
206,Electroclash,0,6,6,10.05719733079123
210,Gabber,0,2,2,10.0
213,Instrumental,0,7,7,10.071496663489038
215,Anison,0,2,2,10.0
225,Chiptune,0,2,2,10.0
232,Dubstep,0,77,77,11.072449952335557
253,J-Core,0,2,2,10.0
278,Bassline,0,10,10,10.114394661582459
293,Dark Ambient,0,16,16,10.200190657769303
311,Krautrock,0,2,2,10.0
323,Darkwave,0,4,4,10.028598665395615
332,Synthwave,0,16,16,10.200190657769303
395,Trap,0,50,50,10.686367969494757
404,Neo Trance,0,9,9,10.100095328884652
444,Moombahton,0,5,5,10.042897998093423
446,Gqom,0,2,2,10.0
449,Future House,0,4,4,10.028598665395615
455,Future Bass,0,3,3,10.014299332697806
