id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,55,55,110,134,12.157254403486473
2,hip hop,61,61,122,92,11.470855275104412
3,hardcore,33,33,66,105,11.68331214817505
5,drum and bass,98,98,196,679,21.06410023606319
6,dub techno,33,33,66,48,10.751770473942255
7,breakbeat,8,8,16,13,10.179771200290539
8,ambient,72,72,144,125,12.010168875976031
10,synth pop,18,18,36,25,10.375885236971127
12,jungle,8,8,16,10,10.130742691120393
14,deep house,647,647,1294,943,25.378609043036136
15,experimental,38,38,76,40,10.621027782821862
16,bassline,3,3,6,3,10.016342836390049
17,reggae,48,48,96,95,11.51988378427456
18,psytrance,4,4,8,4,10.032685672780097
19,rave,10,10,20,12,10.16342836390049
20,acid house,13,13,26,17,10.245142545850735
21,progressive house,417,417,834,1715,37.995278736153985
22,dub,39,39,78,41,10.637370619211913
23,italodance,8,8,16,12,10.16342836390049
24,chill out,105,105,210,315,15.115307790085346
25,jazz,19,19,38,20,10.294171055020882
26,idm,44,44,88,38,10.588342110041765
27,house,2567,2567,5134,5509,100.0
28,pop,106,106,212,115,11.84674051207554
30,dubstep,128,128,256,228,13.69348102415108
31,soul,236,236,472,156,12.51679680406755
32,funk,251,251,502,164,12.647539495187942
33,trance,201,201,402,1621,36.45905211548938
35,disco,445,445,890,602,19.805701834029417
36,dancehall,10,10,20,9,10.114399854730344
37,uk garage,11,11,22,18,10.261485382240785
38,progressive trance,119,119,238,109,11.748683493735246
39,latin,4,4,8,5,10.049028509170148
40,downtempo,13,13,26,23,10.34319956419103
41,ebm,6,6,12,6,10.065371345560196
42,techno,981,981,1962,1794,39.28636281096786
43,freestyle,2,2,4,2,10.0
44,hard trance,31,31,62,39,10.604684946431814
45,acid techno,6,6,12,13,10.179771200290539
46,minimal,542,542,1084,461,17.501361903032503
47,electro,96,96,192,116,11.86308334846559
48,deep space house,28,28,56,28,10.424913746141275
49,hardstyle,31,31,62,148,12.386054112947157
50,tech house,2127,2127,4254,2585,52.21354639549664
51,rock,12,12,24,21,10.310513891410931
52,hard techno,10,10,20,80,11.274741238423823
53,breaks,6,6,12,6,10.065371345560196
