id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,44,44,88,31,11.302083333333334
2,hip hop,36,36,72,92,14.479166666666668
3,hardcore,25,25,50,15,10.46875
5,drum and bass,277,277,554,211,20.677083333333336
6,dub techno,151,151,302,60,12.8125
7,breakbeat,488,488,976,230,21.666666666666664
8,ambient,207,207,414,115,15.677083333333332
9,hard house,4,4,8,6,10.0
10,synth pop,53,53,106,26,11.041666666666666
12,jungle,290,290,580,158,17.916666666666668
13,world music,21,21,42,17,10.572916666666666
14,deep house,806,806,1612,577,39.73958333333333
15,experimental,360,360,720,183,19.21875
16,bassline,348,348,696,198,20.0
17,reggae,2,2,4,6,10.0
18,psytrance,22,22,44,22,10.833333333333334
19,rave,18,18,36,16,10.520833333333334
20,acid house,35,35,70,16,10.520833333333334
21,progressive house,1438,1438,2876,1113,67.65625
22,dub,92,92,184,41,11.822916666666666
24,chill out,39,39,78,26,11.041666666666666
25,jazz,33,33,66,24,10.9375
26,idm,86,86,172,44,11.979166666666666
27,house,2252,2252,4504,1734,100.0
28,pop,8,8,16,8,10.104166666666666
29,indie dance,27,27,54,22,10.833333333333334
30,dubstep,184,184,368,77,13.697916666666666
31,soul,54,54,108,26,11.041666666666666
32,funk,35,35,70,21,10.78125
33,trance,287,287,574,273,23.90625
34,happy hardcore,62,62,124,33,11.40625
35,disco,309,309,618,210,20.625
36,dancehall,6,6,12,9,10.15625
37,uk garage,229,229,458,116,15.729166666666668
38,progressive trance,94,94,188,78,13.75
39,latin,8,8,16,11,10.260416666666666
40,downtempo,194,194,388,140,16.979166666666668
41,ebm,13,13,26,9,10.15625
42,techno,1309,1309,2618,1283,76.51041666666667
44,hard trance,3,3,6,8,10.104166666666666
45,acid techno,7,7,14,8,10.104166666666666
46,minimal,206,206,412,86,14.166666666666668
47,electro,278,278,556,161,18.072916666666664
49,hardstyle,3,3,6,9,10.15625
50,tech house,1362,1362,2724,955,59.427083333333336
52,hard techno,15,15,30,24,10.9375
53,breaks,206,206,412,86,14.166666666666668
