id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,27,27,54,26,11.302774427020507
2,hip hop,55,55,110,110,15.86248492159228
3,hardcore,160,160,320,51,12.659831121833534
4,big beat,2,2,4,2,10.0
5,drum and bass,281,281,562,264,24.221954161640532
6,dub techno,192,192,384,80,14.234016887816647
7,breakbeat,314,314,628,156,18.35946924004825
8,ambient,158,158,316,97,15.156815440289506
10,synth pop,40,40,80,25,11.248492159227986
12,jungle,236,236,472,121,16.45958986731001
13,world music,26,26,52,24,11.194209891435465
14,deep house,815,815,1630,641,44.68636911942099
15,experimental,186,186,372,144,17.708082026537998
16,bassline,272,272,544,160,18.576598311218333
17,reggae,27,27,54,15,10.705669481302774
19,rave,175,175,350,64,13.365500603136308
20,acid house,24,24,48,14,10.651387213510253
21,progressive house,1401,1401,2802,1074,68.19059107358262
22,dub,36,36,72,21,11.031363088057901
24,chill out,42,42,84,35,11.791314837153196
25,jazz,27,27,54,19,10.922798552472859
26,idm,70,70,140,36,11.845597104945718
27,house,2166,2166,4332,1660,100.0
28,pop,25,25,50,22,11.085645355850422
29,indie dance,39,39,78,16,10.759951749095295
30,dubstep,63,63,126,44,12.279855247285887
31,soul,63,63,126,35,11.791314837153196
32,funk,72,72,144,44,12.279855247285887
33,trance,257,257,514,246,23.24487334137515
35,disco,302,302,604,230,22.376357056694815
36,dancehall,12,12,24,13,10.597104945717732
37,uk garage,126,126,252,110,15.86248492159228
38,progressive trance,69,69,138,68,13.582629674306393
40,downtempo,197,197,394,140,17.490952955367913
41,ebm,13,13,26,8,10.325693606755127
42,techno,1000,1000,2000,1150,72.31604342581423
45,acid techno,20,20,40,15,10.705669481302774
46,minimal,320,320,640,142,17.599517490952955
47,electro,202,202,404,157,18.41375150784077
49,hardstyle,32,32,64,18,10.868516284680338
50,tech house,1236,1236,2472,842,55.59710494571773
51,rock,14,14,28,16,10.759951749095295
52,hard techno,20,20,40,27,11.357056694813028
53,breaks,96,96,192,48,12.496984318455972
