id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,64,64,128,52,12.276176024279211
2,hip hop,135,135,270,162,17.283763277693474
3,hardcore,46,46,92,21,10.8649468892261
5,drum and bass,115,115,230,369,26.707132018209407
6,dub techno,114,114,228,51,12.230652503793626
7,breakbeat,133,133,266,77,13.414264036418817
8,ambient,102,102,204,85,13.77845220030349
10,synth pop,52,52,104,35,11.50227617602428
12,jungle,97,97,194,84,13.732928679817906
13,world music,61,61,122,53,12.321699544764796
14,deep house,816,816,1632,630,38.58877086494689
15,experimental,133,133,266,93,14.142640364188164
16,bassline,193,193,386,106,14.734446130500759
17,reggae,34,34,68,24,11.001517450682853
18,psytrance,52,52,104,28,11.18361153262519
19,rave,67,67,134,41,11.775417298937784
20,acid house,18,18,36,14,10.54628224582701
21,progressive house,1566,1566,3132,1261,67.31411229135054
22,dub,34,34,68,19,10.773899848254931
23,italodance,21,21,42,55,12.412746585735963
24,chill out,90,90,180,76,13.368740515933233
25,jazz,81,81,162,61,12.685887708649469
26,idm,44,44,88,36,11.547799696509863
27,house,2403,2403,4806,1979,100.0
28,pop,20,20,40,24,11.001517450682853
30,dubstep,48,48,96,39,11.684370257966616
31,soul,158,158,316,85,13.77845220030349
32,funk,116,116,232,67,12.959028831562975
33,trance,226,226,452,231,20.424886191198787
34,happy hardcore,10,10,20,4,10.09104704097117
35,disco,306,306,612,255,21.517450682852807
36,dancehall,38,38,76,36,11.547799696509863
37,uk garage,98,98,196,97,14.3247344461305
38,progressive trance,96,96,192,93,14.142640364188164
39,latin,57,57,114,38,11.638846737481032
40,downtempo,172,172,344,128,15.735963581183611
41,ebm,15,15,30,15,10.591805766312595
42,techno,983,983,1966,1371,72.3216995447648
43,freestyle,2,2,4,2,10.0
44,hard trance,15,15,30,11,10.409711684370258
45,acid techno,42,42,84,31,11.320182094081943
46,minimal,272,272,544,142,16.37329286798179
47,electro,164,164,328,154,16.9195751138088
49,hardstyle,91,91,182,52,12.276176024279211
50,tech house,1302,1302,2604,937,52.564491654021246
51,rock,25,25,50,16,10.63732928679818
52,hard techno,13,13,26,16,10.63732928679818
53,breaks,90,90,180,49,12.139605462822459
