id,name,outgoing_weight,incoming_weight,total_weight,size
3,Tech House,14943,8801,23744,84.75179289837328
4,Deep House,7050,3092,10142,41.92583522826657
8,Progressive House,9688,4739,14427,55.417176841000526
15,Disco,8232,2217,10449,42.89242609760364
16,Trance,8180,3600,11780,47.08308553437117
20,Electro,17818,7617,25435,90.07591394087808
21,Downtempo,14418,4285,18703,68.88018191359104
22,Techno,1457,11120,12577,49.59244358929509
25,Minimal,15605,7484,23089,82.6895224768235
28,Funk,5660,1784,7444,33.43117019415778
32,Breakbeat,5561,1737,7298,32.971488542942105
40,Ambient,15658,5024,20682,75.11107224068567
42,Experimental,24377,4210,28587,100.0
47,Soul,6762,1650,8412,36.47892251180689
53,Progressive Trance,4377,2907,7284,32.92740948049676
74,Drum n Bass,3698,1070,4768,25.005772258177366
118,Hard Techno,272,27,299,10.935105824733252
232,Dubstep,2388,654,3042,19.57145355955921
1,House,0,14211,14211,54.73709987755816
2,Hard House,0,374,374,11.171243659261851
5,Garage House,0,270,270,10.843799195382193
7,Euro House,0,1192,1192,13.746720307853769
9,Tribal House,0,535,535,11.678152877383244
11,Electro House,0,1503,1503,14.72590519503236
19,Tribal,0,652,652,12.046527899247858
23,Abstract,0,4135,4135,23.01276893475599
24,Breaks,0,2328,2328,17.323421374846948
26,Acid,0,707,707,12.21969564456883
29,Dub,0,1595,1595,15.01556760538744
30,Afrobeat,0,156,156,10.484869686898723
31,Europop,0,623,623,11.9552212698968
34,Vocal,0,837,837,12.629001224418401
37,Schlager,0,144,144,10.447087633374148
44,Future Jazz,0,1083,1083,13.403533321672205
45,UK Garage,0,174,174,10.541542767185586
46,Big Beat,0,395,395,11.23736225292986
49,Jazz-Funk,0,429,429,11.344411404582823
51,Dancehall,0,133,133,10.412454084309953
54,Hip Hop,0,1218,1218,13.828581423823683
59,Hard Trance,0,1066,1066,13.350008745845724
60,Dub Techno,0,940,940,12.953297183837677
61,Synth-pop,0,3088,3088,19.71628476473675
62,RnB/Swing,0,473,473,11.482945600839601
64,Broken Beat,0,787,787,12.471576001399336
67,Eurodance,0,199,199,10.62025537869512
69,Ballad,0,847,847,12.660486269022215
71,Gospel,0,120,120,10.371523526324996
72,Hardstyle,0,257,257,10.802868637397236
85,Acoustic,0,645,645,12.024488368025189
88,Pop Rap,0,412,412,11.29088682875634
89,Pop Rock,0,1481,1481,14.65663809690397
90,Jumpstyle,0,282,282,10.88158124890677
95,Industrial,0,1879,1879,15.909742872135734
97,IDM,0,3168,3168,19.968165121567257
98,Trip Hop,0,1252,1252,13.935630575476647
100,Grime,0,324,324,11.013818436242785
102,Jungle,0,448,448,11.404232989330069
103,Tech Trance,0,197,197,10.613958369774357
104,Alternative Rock,0,1344,1344,14.225292985831732
105,Italo-Disco,0,337,337,11.054748994227742
106,Leftfield,0,1512,1512,14.75424173517579
109,Reggae,0,239,239,10.746195557110372
110,Soft Rock,0,306,306,10.957145355955921
111,Modern Classical,0,899,899,12.824208500962044
113,Contemporary R&B,0,381,381,11.19328319048452
114,EBM,0,468,468,11.467203078537695
115,Happy Hardcore,0,220,220,10.686373972363127
122,Indie Rock,0,1634,1634,15.138359279342314
125,Hardcore,0,858,858,12.695119818086408
134,Minimal Techno,0,398,398,11.246807766311003
137,Hands Up,0,261,261,10.815462655238761
140,Rhythm & Blues,0,918,918,12.884030085709288
152,Noise,0,2445,2445,17.69179639671156
156,Post Rock,0,736,736,12.311002273919888
161,Rock & Roll,0,227,227,10.708413503585797
162,Psychedelic,0,190,190,10.591918838551688
166,Neo Soul,0,410,410,11.284589819835578
171,Glitch,0,1176,1176,13.69634423648767
174,Lo-Fi,0,410,410,11.284589819835578
189,Folk Rock,0,624,624,11.95836977435718
190,Breakcore,0,620,620,11.945775756515655
198,New Age,0,545,545,11.709637921987056
202,New Wave,0,693,693,12.175616582123492
203,Psy-Trance,0,433,433,11.357005422424347
205,Avantgarde,0,848,848,12.663634773482595
210,Gabber,0,135,135,10.418751093230714
214,Psychedelic Rock,0,835,835,12.622704215497638
217,Contemporary Jazz,0,268,268,10.837502186461432
237,Blues Rock,0,218,218,10.680076963442364
248,Soul-Jazz,0,291,291,10.909917789050201
250,Prog Rock,0,438,438,11.372747944726255
251,Drone,0,1690,1690,15.314675529123667
269,Art Rock,0,482,482,11.511282140983033
293,Dark Ambient,0,1017,1017,13.19573202728704
299,Freetekno,0,38,38,10.113346160573728
307,Schranz,0,101,101,10.31170194157775
319,Free Improvisation,0,350,350,11.0956795522127
333,Speedcore,0,90,90,10.277068392513556
339,Musique Concrète,0,467,467,11.464054574077313
