source_id,source_name,target_id,target_name,weight,year,percentage,width
3,Tech House,1,House,1279,2016,22.29388181976643,22.29388181976643
3,Tech House,22,Techno,1182,2016,20.603102666899076,20.603102666899076
3,Tech House,4,Deep House,1220,2016,21.265469757713092,21.265469757713092
3,Tech House,25,Minimal,566,2016,9.865783510545581,9.865783510545581
3,Tech House,8,Progressive House,325,2016,5.664981697751438,5.664981697751438
3,Tech House,20,Electro,80,2016,1.3944570332926616,1.3944570332926616
3,Tech House,11,Electro House,64,2016,1.1155656266341292,1.1155656266341292
3,Tech House,134,Minimal Techno,152,2016,2.649468363256057,2.649468363256057
8,Progressive House,1,House,607,2016,12.19855305466238,12.19855305466238
8,Progressive House,3,Tech House,559,2016,11.233922829581994,11.233922829581994
8,Progressive House,11,Electro House,485,2016,9.746784565916398,9.746784565916398
8,Progressive House,4,Deep House,617,2016,12.39951768488746,12.39951768488746
8,Progressive House,53,Progressive Trance,499,2016,10.02813504823151,10.02813504823151
8,Progressive House,22,Techno,461,2016,9.264469453376206,9.264469453376206
8,Progressive House,20,Electro,103,2016,2.069935691318328,2.069935691318328
8,Progressive House,16,Trance,288,2016,5.787781350482315,5.787781350482315
8,Progressive House,21,Downtempo,130,2016,2.612540192926045,2.612540192926045
8,Progressive House,232,Dubstep,69,2016,1.3866559485530547,1.3866559485530547
8,Progressive House,40,Ambient,55,2016,1.1053054662379422,1.1053054662379422
8,Progressive House,81,Dance-pop,82,2016,1.647909967845659,1.647909967845659
8,Progressive House,201,Progressive Breaks,53,2016,1.065112540192926,1.065112540192926
8,Progressive House,24,Breaks,59,2016,1.1856913183279743,1.1856913183279743
4,Deep House,179,Deep Techno,252,2016,2.44612696563774,2.44612696563774
4,Deep House,1,House,3056,2016,29.66414288487672,29.66414288487672
4,Deep House,3,Tech House,1447,2016,14.045816346340517,14.045816346340517
4,Deep House,20,Electro,215,2016,2.086973403222675,2.086973403222675
4,Deep House,22,Techno,878,2016,8.522616967579111,8.522616967579111
4,Deep House,6,Acid House,166,2016,1.6113376043486702,1.6113376043486702
4,Deep House,15,Disco,233,2016,2.261696757911085,2.261696757911085
4,Deep House,26,Acid,104,2016,1.0095127159774802,1.0095127159774802
4,Deep House,25,Minimal,247,2016,2.397592700446515,2.397592700446515
4,Deep House,8,Progressive House,502,2016,4.87284022519899,4.87284022519899
4,Deep House,40,Ambient,190,2016,1.8443020772665502,1.8443020772665502
4,Deep House,21,Downtempo,370,2016,3.5915356241506506,3.5915356241506506
4,Deep House,42,Experimental,127,2016,1.2327703358571152,1.2327703358571152
4,Deep House,60,Dub Techno,109,2016,1.0580469811687052,1.0580469811687052
4,Deep House,93,Nu-Disco,177,2016,1.718112987769365,1.718112987769365
4,Deep House,11,Electro House,183,2016,1.7763541059988353,1.7763541059988353
4,Deep House,65,Tropical House,117,2016,1.1357018054746653,1.1357018054746653
25,Minimal,134,Minimal Techno,130,2016,1.3447812144408813,1.3447812144408813
25,Minimal,1,House,395,2016,4.086065997724217,4.086065997724217
25,Minimal,22,Techno,697,2016,7.210096203579187,7.210096203579187
