id,name,outgoing_weight,incoming_weight,total_weight,size
1,House,300,720,1020,100.0
3,Tech House,443,207,650,67.28880157170923
4,Deep House,396,299,695,71.2671905697446
5,Progressive House,815,129,944,93.28094302554027
8,Disco,154,90,244,31.394891944990178
9,Techno,113,775,888,88.33005893909628
11,Electro,33,294,327,38.7328094302554
13,Breaks,658,120,778,78.60510805500982
14,Minimal,456,63,519,55.70726915520629
16,Trance,349,347,696,71.35559921414539
24,Ambient,13,391,404,45.54027504911591
26,Funk,214,36,250,31.925343811394896
32,Downtempo,265,233,498,53.85068762278979
34,Breakbeat,803,208,1011,99.20432220039292
37,Dubstep,482,91,573,60.481335952848724
53,Progressive Trance,512,116,628,65.34381139489194
54,Soul,101,58,159,23.88015717092338
56,Jungle,431,60,491,53.23182711198429
59,UK Garage,410,15,425,47.39685658153242
65,Dub Techno,377,21,398,45.0098231827112
67,Drum n Bass,495,158,653,67.5540275049116
116,Hard Techno,384,5,389,44.214145383104125
2,Euro House,0,38,38,13.18271119842829
6,Tribal House,0,5,5,10.265225933202357
7,Garage House,0,58,58,14.95088408644401
10,Hard House,0,9,9,10.6188605108055
12,IDM,0,93,93,18.045186640471513
15,Electro House,0,177,177,25.471512770137526
17,Neofolk,0,3,3,10.088408644400786
18,Latin,0,6,6,10.353634577603144
19,Juke,0,24,24,11.944990176817289
20,Vocal,0,21,21,11.679764243614931
21,Dance-pop,0,118,118,20.255402750491157
22,Hip-House,0,5,5,10.265225933202357
23,Future Jazz,0,27,27,12.210216110019648
28,Europop,0,13,13,10.972495088408644
29,Italodance,0,7,7,10.442043222003928
30,Dub,0,103,103,18.92927308447937
31,Acid House,0,22,22,11.768172888015716
33,Ghetto House,0,2,2,10.0
35,Tropical House,0,46,46,13.889980353634579
38,Glitch,0,14,14,11.06090373280943
39,Future House,0,2,2,10.0
40,Acid,0,163,163,24.23379174852652
41,Soundtrack,0,16,16,11.237721021611002
42,Synthwave,0,37,37,13.094302554027504
43,Eurodance,0,34,34,12.829076620825148
45,Leftfield,0,68,68,15.834970530451866
46,African,0,7,7,10.442043222003928
49,Hands Up,0,11,11,10.795677799607073
50,Tribal,0,61,61,15.216110019646365
51,Reggaeton,0,15,15,11.149312377210217
52,Hardstyle,0,48,48,14.066797642436148
55,Trap,0,21,21,11.679764243614931
57,Freestyle,0,5,5,10.265225933202357
58,Experimental,0,196,196,27.151277013752456
61,Happy Hardcore,0,91,91,17.86836935166994
62,Dancehall,0,8,8,10.530451866404714
63,Eurobeat,0,8,8,10.530451866404714
64,Nu-Disco,0,108,108,19.3713163064833
66,Tech Trance,0,55,55,14.68565815324165
68,Deep Techno,0,72,72,16.188605108055008
69,Minimal Techno,0,66,66,15.658153241650293
70,EBM,0,28,28,12.298624754420432
72,Chillwave,0,19,19,11.502946954813359
73,Bass Music,0,11,11,10.795677799607073
74,Bassline,0,31,31,12.56385068762279
75,Abstract,0,61,61,15.216110019646365
77,Trip Hop,0,19,19,11.502946954813359
79,Synth-pop,0,70,70,16.01178781925344
80,Psy-Trance,0,111,111,19.63654223968566
81,Indie Rock,0,9,9,10.6188605108055
82,Breakcore,0,60,60,15.127701375245579
83,Vaporwave,0,24,24,11.944990176817289
84,Nerdcore Techno,0,2,2,10.0
85,Pop Rap,0,16,16,11.237721021611002
87,Soul-Jazz,0,7,7,10.442043222003928
89,Hard Trance,0,86,86,17.426326129666013
90,Grime,0,28,28,12.298624754420432
93,Broken Beat,0,18,18,11.414538310412574
94,J-pop,0,10,10,10.707269155206287
96,Ethereal,0,2,2,10.0
97,Fusion,0,3,3,10.088408644400786
100,Contemporary R&B,0,4,4,10.17681728880157
102,Indie Pop,0,23,23,11.856581532416502
107,Boogie,0,12,12,10.88408644400786
108,Hip Hop,0,29,29,12.387033398821218
110,Video Game Music,0,12,12,10.88408644400786
111,Ballad,0,28,28,12.298624754420432
112,Progressive Breaks,0,9,9,10.6188605108055
113,Future Bass,0,10,10,10.707269155206287
114,J-Core,0,20,20,11.591355599214145
115,Raï,0,4,4,10.17681728880157
117,Goa Trance,0,19,19,11.502946954813359
118,Noise,0,19,19,11.502946954813359
119,Industrial,0,61,61,15.216110019646365
120,Big Beat,0,22,22,11.768172888015716
121,Gabber,0,20,20,11.591355599214145
122,Hardcore,0,372,372,42.711198428290764
125,Pop Rock,0,16,16,11.237721021611002
127,Chiptune,0,15,15,11.149312377210217
132,Alternative Rock,0,7,7,10.442043222003928
134,Punk,0,5,5,10.265225933202357
135,Schranz,0,14,14,11.06090373280943
136,Psychedelic,0,15,15,11.149312377210217
138,Heavy Metal,0,2,2,10.0
139,Avantgarde,0,3,3,10.088408644400786
140,Darkwave,0,10,10,10.707269155206287
141,Ghettotech,0,2,2,10.0
142,Drone,0,27,27,12.210216110019648
143,Freetekno,0,28,28,12.298624754420432
148,Folk,0,6,6,10.353634577603144
151,Acoustic,0,6,6,10.353634577603144
153,Score,0,3,3,10.088408644400786
155,Modern,0,5,5,10.265225933202357
156,Contemporary,0,19,19,11.502946954813359
157,Doomcore,0,2,2,10.0
158,Shoegaze,0,4,4,10.17681728880157
160,Cumbia,0,4,4,10.17681728880157
161,Krautrock,0,2,2,10.0
162,Dark Ambient,0,28,28,12.298624754420432
167,Field Recording,0,4,4,10.17681728880157
172,Modern Classical,0,19,19,11.502946954813359
174,Illbient,0,2,2,10.0
177,Ragga HipHop,0,2,2,10.0
180,Instrumental,0,12,12,10.88408644400786
183,Power Electronics,0,2,2,10.0
186,Makina,0,2,2,10.0
187,Acid Jazz,0,4,4,10.17681728880157
189,Power Pop,0,2,2,10.0
190,Anison,0,2,2,10.0
191,RnB/Swing,0,21,21,11.679764243614931
193,Prog Rock,0,2,2,10.0
194,Jazzdance,0,2,2,10.0
196,Chanson,0,4,4,10.17681728880157
197,Post Rock,0,4,4,10.17681728880157
200,Gqom,0,2,2,10.0
201,Disco Polo,0,7,7,10.442043222003928
202,Euro-Disco,0,7,7,10.442043222003928
203,Speedcore,0,12,12,10.88408644400786
