source_id,source_name,target_id,target_name,weight,year,width
3,Tech House,1,House,1076,2019,11.0
3,Tech House,25,Minimal,712,2019,7.613953488372093
3,Tech House,4,Deep House,1035,2019,10.61860465116279
3,Tech House,19,Tribal,12,2019,1.1023255813953488
3,Tech House,22,Techno,896,2019,9.325581395348838
3,Tech House,20,Electro,101,2019,1.9302325581395348
3,Tech House,106,Leftfield,48,2019,1.4372093023255814
3,Tech House,26,Acid,84,2019,1.772093023255814
3,Tech House,21,Downtempo,77,2019,1.7069767441860466
3,Tech House,8,Progressive House,529,2019,5.911627906976745
3,Tech House,6,Acid House,61,2019,1.558139534883721
3,Tech House,16,Trance,54,2019,1.4930232558139536
3,Tech House,58,African,3,2019,1.0186046511627906
3,Tech House,9,Tribal House,32,2019,1.2883720930232558
3,Tech House,24,Breaks,69,2019,1.6325581395348836
3,Tech House,40,Ambient,67,2019,1.613953488372093
3,Tech House,32,Breakbeat,41,2019,1.372093023255814
3,Tech House,15,Disco,38,2019,1.344186046511628
3,Tech House,103,Tech Trance,27,2019,1.241860465116279
3,Tech House,332,Synthwave,3,2019,1.0186046511627906
3,Tech House,2,Hard House,6,2019,1.0465116279069768
3,Tech House,5,Garage House,22,2019,1.1953488372093024
3,Tech House,11,Electro House,85,2019,1.7813953488372092
3,Tech House,45,UK Garage,19,2019,1.1674418604651162
3,Tech House,97,IDM,20,2019,1.1767441860465115
3,Tech House,404,Neo Trance,57,2019,1.5209302325581395
3,Tech House,65,Tropical House,10,2019,1.083720930232558
3,Tech House,202,New Wave,5,2019,1.0372093023255813
3,Tech House,83,Lounge,3,2019,1.0186046511627906
3,Tech House,42,Experimental,22,2019,1.1953488372093024
3,Tech House,179,Deep Techno,164,2019,2.5162790697674415
3,Tech House,128,Acid Jazz,3,2019,1.0186046511627906
3,Tech House,134,Minimal Techno,279,2019,3.5860465116279068
3,Tech House,10,French House,1,2019,1.0
3,Tech House,29,Dub,16,2019,1.1395348837209303
3,Tech House,60,Dub Techno,32,2019,1.2883720930232558
3,Tech House,93,Nu-Disco,54,2019,1.4930232558139536
3,Tech House,14,Italo House,4,2019,1.027906976744186
3,Tech House,69,Ballad,3,2019,1.0186046511627906
3,Tech House,337,Cantopop,1,2019,1.0
3,Tech House,64,Broken Beat,9,2019,1.0744186046511628
3,Tech House,54,Hip Hop,5,2019,1.0372093023255813
3,Tech House,23,Abstract,9,2019,1.0744186046511628
3,Tech House,265,Boogie,4,2019,1.027906976744186
3,Tech House,201,Progressive Breaks,6,2019,1.0465116279069768
3,Tech House,13,Hip-House,3,2019,1.0186046511627906
3,Tech House,12,Ghetto House,8,2019,1.0651162790697675
3,Tech House,174,Lo-Fi,3,2019,1.0186046511627906
3,Tech House,61,Synth-pop,16,2019,1.1395348837209303
3,Tech House,53,Progressive Trance,37,2019,1.3348837209302324
3,Tech House,52,Speed Garage,2,2019,1.0093023255813953
3,Tech House,111,Modern Classical,4,2019,1.027906976744186
3,Tech House,44,Future Jazz,7,2019,1.0558139534883721
3,Tech House,298,Free Jazz,1,2019,1.0
3,Tech House,74,Drum n Bass,11,2019,1.0930232558139534
3,Tech House,294,Bass Music,4,2019,1.027906976744186
3,Tech House,59,Hard Trance,5,2019,1.0372093023255813
3,Tech House,7,Euro House,14,2019,1.1209302325581396
3,Tech House,35,Jazzdance,2,2019,1.0093023255813953
3,Tech House,212,Rhythmic Noise,1,2019,1.0
3,Tech House,81,Dance-pop,28,2019,1.2511627906976743
3,Tech House,122,Indie Rock,5,2019,1.0372093023255813
3,Tech House,34,Vocal,5,2019,1.0372093023255813
3,Tech House,89,Pop Rock,5,2019,1.0372093023255813
3,Tech House,323,Darkwave,3,2019,1.0186046511627906
